match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
1,2020-06-25,IVL_2020_summer_regular,IVL,ppx,shy,long,mk,ak,"军工厂",3,0,IVL_COA_2020-2024.json,8
2,2020-06-25,IVL_2020_summer_regular,IVL,ken,567,f,lpz,xmm,"军工厂",0,1,IVL_COA_2020-2024.json,8
3,2020-06-25,IVL_2020_summer_regular,IVL,ppx,iron,long,mk,ak,"红教堂",1,1,IVL_COA_2020-2024.json,8
4,2020-06-25,IVL_2020_summer_regular,IVL,ken,567,f,lpz,xmm,"红教堂",0,1,IVL_COA_2020-2024.json,8
5,2020-06-25,IVL_2020_summer_regular,IVL,afu,lion,wy,487,jelly,"军工厂",3,0,IVL_COA_2020-2024.json,9
6,2020-06-25,IVL_2020_summer_regular,IVL,jue,yjj,billy,tea,sxy,"军工厂",2,,IVL_COA_2020-2024.json,9
7,2020-06-25,IVL_2020_summer_regular,IVL,afu,lion,wy,487,jelly,"月亮河公园",3,0,IVL_COA_2020-2024.json,9
8,2020-06-25,IVL_2020_summer_regular,IVL,jue,yjj,billy,tea,sxy,"月亮河公园",3,0,IVL_COA_2020-2024.json,9
9,2020-06-25,IVL_2020_summer_regular,IVL,jue,yjj,billy,tea,sxy,"红教堂",0,1,IVL_COA_2020-2024.json,9
10,2020-06-25,IVL_2020_summer_regular,IVL,chz,lion,wy,487,jelly,"红教堂",3,0,IVL_COA_2020-2024.json,9
11,2020-06-25,IVL_2020_summer_regular,IVL,yue,zzai,445,kucao,zb,"红教堂",3,0,IVL_COA_2020-2024.json,10
12,2020-06-25,IVL_2020_summer_regular,IVL,ppxia,ruoan,fox,zibi,sans,"红教堂",2,,IVL_COA_2020-2024.json,10
13,2020-06-25,IVL_2020_summer_regular,IVL,ppxia,ruoan,fox,zibi,sans,"湖景村",3,0,IVL_COA_2020-2024.json,10
14,2020-06-25,IVL_2020_summer_regular,IVL,yue,zzai,445,kucao,zb,"湖景村",3,0,IVL_COA_2020-2024.json,10
15,2020-06-25,IVL_2020_summer_regular,IVL,yue,zzai,445,kucao,zb,"军工厂",3,0,IVL_COA_2020-2024.json,10
16,2020-06-25,IVL_2020_summer_regular,IVL,ppxia,ruoan,fox,zibi,sans,"军工厂",2,,IVL_COA_2020-2024.json,10
17,2020-06-26,IVL_2020_summer_regular,IVL,ken,blue,add,tang,huiyi,"军工厂",0,1,IVL_COA_2020-2024.json,11
18,2020-06-26,IVL_2020_summer_regular,IVL,sese,shy,long,mk,ak,"军工厂",2,,IVL_COA_2020-2024.json,11
19,2020-06-26,IVL_2020_summer_regular,IVL,d,iron,long,mk,ak,"红教堂",3,0,IVL_COA_2020-2024.json,11
