canonical_id,known_roles,first_seen,last_seen,n_games
01,survivor,2023-07-08,2023-07-09,8
01499,hunter,2024-03-09,2024-03-09,1
06sy,survivor,2026-03-07,2026-03-07,5
0r2l,survivor,2025-03-01,2025-03-01,3
1031,survivor,2022-02-19,2022-02-19,1
111,survivor,2021-03-20,2023-03-25,17
1127,survivor,2025-09-11,2025-09-12,4
113,survivor,2025-02-22,2025-02-22,4
121x,survivor,2021-09-11,2021-09-11,3
143,hunter,2022-06-25,2022-06-25,2
147,survivor,2026-03-01,2026-03-01,5
17,survivor,2026-03-01,2026-03-01,2
18,survivor,2021-06-12,2026-04-19,747
1k,survivor,2021-03-21,2023-08-13,59
1m,survivor,2021-03-20,2021-04-16,11
20330,survivor,2023-02-18,2023-02-18,1
22,survivor,2020-06-27,2022-04-03,49
230,survivor,2025-03-01,2025-03-01,2
23e,survivor,2024-07-20,2024-07-20,3
24savage,survivor,2023-02-18,2023-02-18,2
27,survivor,2022-12-03,2022-12-03,2
275,survivor,2024-07-20,2024-07-20,3
"2単位おちびや",survivor,2021-11-13,2021-11-13,3
33yyds,survivor,2022-02-20,2022-02-21,6
3brother,survivor,2022-03-19,2022-03-27,5
3o3,survivor,2021-02-26,2022-09-25,22
40,survivor,2021-11-26,2022-08-05,28
445,survivor,2020-06-25,2022-10-23,231
477,survivor,2023-02-17,2023-06-25,9
481,survivor,2022-08-21,2023-04-16,41
487,survivor,2020-06-25,2025-11-29,845
489,survivor,2022-02-20,2022-06-25,4
4d5b,survivor,2025-03-01,2025-03-02,7
4ta5,survivor,2021-06-13,2024-03-15,25
4u,survivor,2020-10-02,2020-10-25,18
50zai,survivor,2022-07-02,2022-07-09,3
520,survivor,2025-02-21,2025-06-15,39
5252,survivor,2023-02-17,2023-02-17,4
5353,survivor,2021-09-11,2021-09-25,12
55ee5,survivor,2021-05-28,2021-05-30,7
567,survivor,2020-06-25,2021-05-01,46
588,survivor,2023-09-28,2024-03-17,10
5884,survivor,2025-02-22,2025-03-09,15
589,survivor,2022-12-03,2022-12-03,2
61rd,both,2021-06-13,2022-03-11,19
66,survivor,2022-02-26,2022-02-26,3
67,survivor,2026-03-07,2026-03-07,3
6|in,survivor,2021-08-27,2021-08-27,3
705,survivor,2023-02-24,2023-02-24,1
71,survivor,2023-07-08,2023-07-08,2
72s,hunter,2020-10-02,2022-02-25,31
77,survivor,2024-07-27,2025-03-07,4
