player_id,role,beta,n_games,first_seen,last_seen
jin,hunter,1.3064612964756364,182,2023-07-08,2026-05-05
bailu,hunter,1.1521535084546408,175,2024-07-27,2026-05-05
sprintzer,hunter,1.0650676348814714,121,2021-02-28,2026-05-01
kakiri,hunter,0.9371594149524411,106,2025-04-11,2026-05-03
peter,hunter,0.9094226447463506,143,2023-10-21,2026-05-01
mzk,hunter,0.7856370740316203,8,2026-02-28,2026-04-17
alf,hunter,0.7823352302211511,312,2020-10-10,2026-05-03
ppei,hunter,0.7765837007854134,317,2023-03-05,2026-05-05
peko,hunter,0.759025054007514,8,2025-03-01,2025-03-02
aka,hunter,0.7572830057773761,400,2020-08-07,2026-05-03
choai,hunter,0.7368124838877872,415,2023-03-11,2026-05-01
kurai,hunter,0.6932539829836509,24,2022-07-03,2026-04-18
mmq,hunter,0.6583153706097656,3,2024-03-09,2024-03-17
jeicyako,hunter,0.6490135670112521,1,2021-06-12,2021-06-12
dongx,hunter,0.6470927776422395,906,2020-06-26,2026-05-05
daru,hunter,0.6416850422374799,14,2025-03-01,2026-02-28
orai,hunter,0.6401984172130981,1,2021-06-12,2021-06-12
spmn,hunter,0.6198776148546192,2,2021-06-18,2021-06-20
01499,hunter,0.6093270949925962,1,2024-03-09,2024-03-09
chikin,hunter,0.6091626593227967,164,2022-12-03,2025-12-07
narumi,hunter,0.5955778819377836,6,2026-02-28,2026-03-14
n1e,hunter,0.5885086834761066,311,2023-12-10,2026-05-02
zz9,hunter,0.5880127996594875,159,2024-07-27,2026-05-01
momoka,hunter,0.5785415538478067,23,2024-08-23,2026-03-08
hamu,hunter,0.5749374139317984,10,2025-02-22,2025-03-07
sign,hunter,0.5749297674066145,8,2021-06-18,2022-12-11
heshen,hunter,0.572017770096271,40,2024-04-14,2026-04-18
moonlight,hunter,0.5110366888147883,1,2026-03-07,2026-03-07
xawm,hunter,0.5094211464542646,727,2020-06-27,2026-04-19
pitstoper,hunter,0.5067054507655486,42,2023-02-19,2026-04-19
ssibung,hunter,0.501338743137534,22,2023-09-28,2026-03-01
mhxm,hunter,0.48444937188692155,110,2025-02-22,2026-03-21
yanpyi,hunter,0.46229817078292307,2,2020-11-13,2020-11-13
yum,hunter,0.4582742662998959,20,2026-03-05,2026-04-18
alex,hunter,0.4466017127280226,525,2021-06-12,2025-05-02
littlie,hunter,0.4424851134463493,28,2025-03-07,2026-03-21
kaeru(kp),hunter,0.44091905395977893,1,2021-03-05,2021-03-05
xingye,hunter,0.44057866642394666,2,2026-03-08,2026-03-15
killerboss,hunter,0.4306146512522508,6,2025-02-23,2025-02-23
yushtina,hunter,0.4239873223516745,4,2025-03-01,2025-03-01
yukipi,hunter,0.4106906688683516,10,2025-02-22,2026-03-13
wuye,hunter,0.4087075618108455,13,2023-07-08,2025-02-23
mai,hunter,0.39688434455834004,2,2025-03-07,2025-03-09
qiu,hunter,0.3958844944099131,35,2025-06-06,2026-04-19
oi,hunter,0.39438022158711106,2,2021-11-13,2021-11-13
tvtear,hunter,0.3917749920510511,2,2026-03-06,2026-03-08
hasha,hunter,0.39164077958183857,372,2020-08-15,2026-05-02
burio,hunter,0.3869371874716255,238,2021-09-11,2026-03-14
muu,hunter,0.372762563513171,1,2020-10-09,2020-10-09
ling,hunter,0.36596472017930304,29,2022-02-20,2025-03-09
freddy,hunter,0.36010393789811285,6,2026-03-06,2026-03-21
agyou,hunter,0.357988827914318,1,2020-08-08,2020-08-08
7777777,hunter,0.3544981008309899,4,2022-03-20,2022-04-04
hgw,hunter,0.3484551821787915,2,2022-03-26,2022-04-03
yami,hunter,0.3482879569091274,83,2021-03-07,2026-04-17
elena,hunter,0.3351360009253375,9,2021-03-20,2025-03-08
crazy,hunter,0.33438228433972844,8,2020-09-13,2021-05-01
kakaka,hunter,0.3279465786281124,163,2023-10-28,2026-05-03
yinl,hunter,0.3256632160630119,5,2022-03-20,2025-04-18
kuga,hunter,0.32279599997110425,45,2022-08-19,2026-03-08
