player_id,role,beta,n_games,first_seen,last_seen
jin,hunter,1.2219033110588353,179,2023-07-08,2026-05-05
mzk,hunter,1.1359578051198322,8,2026-02-28,2026-04-17
bailu,hunter,1.0387370915670346,156,2024-07-27,2026-05-05
sprintzer,hunter,1.0161302266254086,82,2021-02-28,2026-05-01
aka,hunter,0.8153411081688076,349,2020-08-07,2026-05-03
kakiri,hunter,0.7921613907769283,106,2025-04-11,2026-05-03
kurai,hunter,0.7791176727845521,21,2022-07-03,2026-04-18
ssibung,hunter,0.7725442051559626,12,2023-09-28,2026-03-01
peter,hunter,0.7240785077752269,137,2023-10-21,2026-05-01
narumi,hunter,0.6932746159966482,6,2026-02-28,2026-03-14
ppei,hunter,0.6168516771448911,317,2023-03-05,2026-05-05
daru,hunter,0.6051531080040451,14,2025-03-01,2026-02-28
heshen,hunter,0.5678782995336341,27,2024-04-14,2026-04-18
peko,hunter,0.5501678845272572,8,2025-03-01,2025-03-02
choai,hunter,0.519411067355032,415,2023-03-11,2026-05-01
alf,hunter,0.4444866020223973,226,2020-10-10,2026-05-03
dongx,hunter,0.40305634340808777,878,2020-06-26,2026-05-05
yum,hunter,0.39390030437512896,20,2026-03-05,2026-04-18
n1e,hunter,0.38872551087433066,301,2023-12-10,2026-05-02
qiu,hunter,0.38605075484784646,35,2025-06-06,2026-04-19
hasha,hunter,0.38244043107765674,338,2020-08-15,2026-05-02
pitstoper,hunter,0.37799944186588663,42,2023-02-19,2026-04-19
chikin,hunter,0.3740678757659299,163,2022-12-03,2025-12-07
alex,hunter,0.3724774280704545,517,2021-06-12,2025-05-02
superzhan,hunter,0.3651515846916112,1,2026-03-01,2026-03-01
littlie,hunter,0.36079281633149873,28,2025-03-07,2026-03-21
pito,hunter,0.3554555804557357,1,2023-07-08,2026-02-28
hamu,hunter,0.33981160535005545,10,2025-02-22,2025-03-07
wuye,hunter,0.33367716171758965,5,2023-07-08,2025-02-23
yushtina,hunter,0.31998081748877194,4,2025-03-01,2025-03-01
killerboss,hunter,0.30073429347083014,6,2025-02-23,2025-02-23
momoka,hunter,0.2742516783293054,12,2024-08-23,2026-03-08
mhxm,hunter,0.27250502402831045,110,2025-02-22,2026-03-21
zz9,hunter,0.2685086019143862,140,2024-07-27,2026-05-01
qingh,hunter,0.25705663560264425,11,2021-02-28,2026-03-02
trap,hunter,0.24569594204228684,6,2026-03-01,2026-04-17
xawm,hunter,0.2454023550135272,716,2020-06-27,2026-04-19
lingw,hunter,0.23586068185560666,2,2026-03-01,2026-03-01
pipicha,hunter,0.2305297938677504,106,2021-03-13,2026-05-02
elena,hunter,0.22587144156424463,9,2021-03-20,2025-03-08
burio,hunter,0.22076737756170495,225,2021-09-11,2026-03-14
yami,hunter,0.2205347759046006,83,2021-03-07,2026-04-17
neila,hunter,0.21539257283088542,4,2024-07-14,2026-03-02
jiala,hunter,0.20672770655957476,3,2024-08-24,2026-04-17
nonsept,hunter,0.19757789136589862,16,2026-03-05,2026-03-22
on,hunter,0.18112112597816943,6,2026-02-28,2026-03-01
kai,hunter,0.17334574569242261,4,2025-03-02,2025-03-02
guaguasin,hunter,0.17268822351992497,5,2025-02-22,2025-02-23
arisa,hunter,0.14562543694167246,1,2026-03-08,2026-03-08
hachi,hunter,0.13249944421620985,4,2024-07-27,2025-02-23
yeojin,hunter,0.13127632181434606,1,2026-02-28,2026-02-28
yukipi,hunter,0.13073766941655673,10,2025-02-22,2026-03-13
9u,hunter,0.12872443439400352,12,2025-03-06,2025-11-08
gyehwa,hunter,0.1151227634293588,3,2025-03-01,2025-03-01
kakaka,hunter,0.1123317731321387,163,2023-10-28,2026-05-03
fashi,hunter,0.1051018935835353,5,2025-02-22,2026-02-28
hetian,hunter,0.10436575285995595,17,2024-03-09,2025-04-19
7luo,hunter,0.10407181418820349,4,2023-02-17,2025-02-22
ryz,hunter,0.10211221129840971,143,2021-11-13,2024-12-22
kasume,hunter,0.10026185680087736,1,2025-03-01,2025-03-01
janedoe,hunter,0.09965755995734234,1,2025-03-01,2025-03-01
in3,hunter,0.09960395384489576,1,2025-03-01,2025-03-01
repa,hunter,0.09832229047584506,20,2023-02-25,2026-03-01
sheep,hunter,0.09515284460932828,1,2023-07-08,2025-02-22
hamuchan,hunter,0.08905436388515733,3,2022-12-03,2026-03-07
ling,hunter,0.07922584727464492,17,2022-02-20,2025-03-09
muxin,hunter,0.06469874299288472,24,2022-02-19,2026-03-01
xingye,hunter,0.060634569420318314,2,2026-03-08,2026-03-15
mkmldy,hunter,0.04689886406933399,90,2024-03-09,2026-05-01
haruka,hunter,0.04593437051071238,8,2020-08-07,2024-03-10
binbin,hunter,0.045847411439043924,1,2025-04-11,2025-04-11
kagome,hunter,0.04423440318788658,13,2021-06-19,2025-03-22
irohas,hunter,0.03674179786220348,5,2025-02-22,2025-03-02
sneaky,hunter,0.031063838327840532,13,2022-02-26,2023-09-28
dream,hunter,0.0277269465906731,13,2021-03-14,2024-04-21
godjay,hunter,0.026426869399227206,25,2020-10-03,2026-03-08
peachgn,hunter,0.026184993338732813,1,2024-03-17,2024-03-17
crimson,hunter,0.026140269040316556,1,2024-03-09,2024-03-09
mark,hunter,0.024479257063983455,2,2025-03-01,2025-03-01
lb,hunter,0.024206055174754548,7,2021-08-08,2026-03-08
tyun,hunter,0.020142499458979883,2,2024-03-16,2024-07-20
xiaog,hunter,0.019076535559384253,2,2024-03-09,2024-03-10
