K,rmse,se,r2_vs_null
1,2.1039499539548414,0.03593125985269864,-2.2046227039072974
2,1.6646026357604289,0.028131195329658475,-1.0059830120827797
3,1.4946046277855543,0.025284026654380364,-0.6171814093622732
5,1.359227470390754,0.02381997216712999,-0.3374894998901605
8,1.2899096155987504,0.025968469982602552,-0.2045495100202388
12,1.2501741525557977,0.027526081939802993,-0.13148063643476382
20,1.2234287274514337,0.02812718593977266,-0.08358614369245587
30,1.2097209302211194,0.02785565146844778,-0.05944028866782136
50,1.2026292386245458,0.02587491240205489,-0.04705528086770805
75,1.2008774789000054,0.024515518604431942,-0.04400720359854904
100,1.1993590864554982,0.02411368087870538,-0.04136878210360151
150,1.1970319621839791,0.023992341323938658,-0.037331553334303935
200,1.1937603544529019,0.025157172891734587,-0.031669040854984676
300,1.1882570755984463,0.027640895509667005,-0.022178902384390797
500,1.1833255166131116,0.031063959013965747,-0.013711921470787924
1000,1.1825753122620608,0.03160351943573101,-0.012426983361079724
9999,1.1825753122620608,0.03160351943573101,-0.012426983361079724
