K,rmse,se,r2_vs_null
1,2.0885086646785513,0.047300145214155376,-2.2616171745097366
2,1.647616835577867,0.027958295064488062,-1.029891684649551
3,1.4773532284495006,0.02053333398862334,-0.6320336675682774
5,1.3374895475791422,0.01582149337118813,-0.3376460639264802
8,1.2646161098473803,0.016939630879369044,-0.19585312411812872
12,1.2252796411316438,0.01589119570218307,-0.12261504303794357
20,1.1967360581263966,0.017263754880968464,-0.0709203614660836
30,1.1816536124176484,0.016550522712422612,-0.044096876401972906
50,1.174345498959347,0.014442513913507236,-0.0312220664812497
75,1.1719532825402765,0.012136853466829366,-0.0270250158878651
100,1.1693924506411715,0.010346015986711638,-0.02254162048953723
150,1.165398031763551,0.009271911408139455,-0.01556794165809361
200,1.161753537075844,0.009811994726029553,-0.009225997493170546
300,1.1558239331396865,0.012725293462512203,0.001049914325810808
500,1.1507614839506979,0.016771940161269563,0.009781450182230311
1000,1.1499386522924224,0.017435521110239934,0.011197020453930895
9999,1.1499386522924224,0.017435521110239934,0.011197020453930895
