number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.05750029008587687,2026-06-10 16:56:53.907171,2026-06-10 16:56:54.626339,0 days 00:00:00.719168,111.5579284069578,7.969454818643932,15,COMPLETE,0.05750029008587687
1,-0.02189838596344995,2026-06-10 16:56:54.626447,2026-06-10 16:56:56.609808,0 days 00:00:01.983361,244.79668704186594,0.20513382630874502,3,COMPLETE,0.02189838596344995
2,-0.05128835460605152,2026-06-10 16:56:56.609872,2026-06-10 16:56:57.361811,0 days 00:00:00.751939,36.77693677430325,5.3994844097874335,12,COMPLETE,0.05128835460605152
3,-0.0025898452519902415,2026-06-10 16:56:57.361914,2026-06-10 16:56:59.993246,0 days 00:00:02.631332,359.27742843713463,0.10994335574766201,20,COMPLETE,0.0025898452519902415
4,-0.022903708151834845,2026-06-10 16:56:59.993301,2026-06-10 16:57:02.055431,0 days 00:00:02.062130,555.6872843629607,0.26587543983272705,3,COMPLETE,0.022903708151834845
5,-0.02082032921079746,2026-06-10 16:57:02.055483,2026-06-10 16:57:03.161590,0 days 00:00:01.106107,57.07213043685121,0.4059611610484306,11,COMPLETE,0.02082032921079746
6,-0.03646881564786275,2026-06-10 16:57:03.161690,2026-06-10 16:57:04.501042,0 days 00:00:01.339352,136.43353841454115,0.38234752246751863,12,COMPLETE,0.03646881564786275
7,-0.014923983276125319,2026-06-10 16:57:04.501143,2026-06-10 16:57:05.513571,0 days 00:00:01.012428,48.927552340819936,0.3839629299804172,7,COMPLETE,0.014923983276125319
8,-0.061908732248104115,2026-06-10 16:57:05.513628,2026-06-10 16:57:06.393280,0 days 00:00:00.879652,148.47746361371384,3.7183641805732086,4,COMPLETE,0.061908732248104115
9,-0.05811872343574731,2026-06-10 16:57:06.393368,2026-06-10 16:57:07.038058,0 days 00:00:00.644690,182.06981506056835,1.530485212183147,0,COMPLETE,0.05811872343574731
10,-0.05574196426935263,2026-06-10 16:57:07.038183,2026-06-10 16:57:08.343620,0 days 00:00:01.305437,846.8209840008549,2.126848942597982,20,COMPLETE,0.05574196426935263
11,-0.05741052993659701,2026-06-10 16:57:08.343683,2026-06-10 16:57:09.031668,0 days 00:00:00.687985,155.5393744851735,1.4495140946235858,0,COMPLETE,0.05741052993659701
12,-0.05502201768739856,2026-06-10 16:57:09.031720,2026-06-10 16:57:09.599526,0 days 00:00:00.567806,83.02533879798266,1.770789973812919,0,COMPLETE,0.05502201768739856
13,-0.06217388589779005,2026-06-10 16:57:09.599580,2026-06-10 16:57:10.485148,0 days 00:00:00.885568,207.64259853197018,3.6552774670951185,5,COMPLETE,0.06217388589779005
14,-0.061620105300835726,2026-06-10 16:57:10.485228,2026-06-10 16:57:11.510487,0 days 00:00:01.025259,305.1800390254951,3.94171678241066,6,COMPLETE,0.061620105300835726
15,-0.059018549496318906,2026-06-10 16:57:11.510590,2026-06-10 16:57:12.289421,0 days 00:00:00.778831,86.12747063841209,3.233260920463776,7,COMPLETE,0.059018549496318906
16,-0.04630362368015606,2026-06-10 16:57:12.289474,2026-06-10 16:57:13.846476,0 days 00:00:01.557002,536.5797467195971,0.8141372491243993,4,COMPLETE,0.04630362368015606
17,-0.05694824496137785,2026-06-10 16:57:13.846579,2026-06-10 16:57:14.667356,0 days 00:00:00.820777,198.32363013208175,9.705993195011624,9,COMPLETE,0.05694824496137785
18,-0.04931179528427676,2026-06-10 16:57:14.667412,2026-06-10 16:57:15.896163,0 days 00:00:01.228751,361.57332005136857,0.8738782122751503,5,COMPLETE,0.04931179528427676
19,-0.059145034671602925,2026-06-10 16:57:15.896217,2026-06-10 16:57:16.625789,0 days 00:00:00.729572,99.80746030992854,5.290109541034294,9,COMPLETE,0.059145034671602925
20,-0.06162205174397828,2026-06-10 16:57:16.625888,2026-06-10 16:57:17.439084,0 days 00:00:00.813196,217.06427474112948,2.6781818985236576,2,COMPLETE,0.06162205174397828
21,-0.06159317838160894,2026-06-10 16:57:17.439186,2026-06-10 16:57:18.296449,0 days 00:00:00.857263,241.7215415227215,2.8337010889275516,2,COMPLETE,0.06159317838160894
22,-0.06006734009980541,2026-06-10 16:57:18.296504,2026-06-10 16:57:19.111330,0 days 00:00:00.814826,132.1125673461253,5.507385831287441,2,COMPLETE,0.06006734009980541
23,-0.061432519418534004,2026-06-10 16:57:19.111434,2026-06-10 16:57:20.014242,0 days 00:00:00.902808,235.86624925658654,2.477053786367282,5,COMPLETE,0.061432519418534004
24,-0.05303937731040764,2026-06-10 16:57:20.014343,2026-06-10 16:57:21.277846,0 days 00:00:01.263503,417.5681547332496,1.179931993811658,2,COMPLETE,0.05303937731040764
25,-0.05617422991638665,2026-06-10 16:57:21.277946,2026-06-10 16:57:22.068239,0 days 00:00:00.790293,65.45835366760952,3.8432846676398205,6,COMPLETE,0.05617422991638665
26,-0.05970643235868223,2026-06-10 16:57:22.068290,2026-06-10 16:57:22.904531,0 days 00:00:00.836241,179.39021118291234,6.867672629642895,9,COMPLETE,0.05970643235868223
27,-0.061683198411979334,2026-06-10 16:57:22.904582,2026-06-10 16:57:23.794641,0 days 00:00:00.890059,263.91470745672495,3.9174531547929066,4,COMPLETE,0.061683198411979334
28,-0.06135083558322307,2026-06-10 16:57:23.794691,2026-06-10 16:57:24.846424,0 days 00:00:01.051733,297.4897981088058,4.408373783118269,8,COMPLETE,0.06135083558322307
29,-0.057775111746165786,2026-06-10 16:57:24.846476,2026-06-10 16:57:25.632313,0 days 00:00:00.785837,117.6251165439148,7.948010668004212,15,COMPLETE,0.057775111746165786
30,-0.05766353302828686,2026-06-10 16:57:25.632369,2026-06-10 16:57:26.511930,0 days 00:00:00.879561,507.16392634406145,6.861768445650257,5,COMPLETE,0.05766353302828686
31,-0.06112820303637745,2026-06-10 16:57:26.511980,2026-06-10 16:57:27.451902,0 days 00:00:00.939922,158.7497308362824,2.2217927342790023,3,COMPLETE,0.06112820303637745
32,-0.062113233510642574,2026-06-10 16:57:27.451953,2026-06-10 16:57:28.396239,0 days 00:00:00.944286,210.85817223502562,3.053369023620706,4,COMPLETE,0.062113233510642574
33,-0.061691817632060886,2026-06-10 16:57:28.396292,2026-06-10 16:57:29.364494,0 days 00:00:00.968202,270.77313487903484,3.307449902867267,4,COMPLETE,0.061691817632060886
34,-0.06124296830039788,2026-06-10 16:57:29.364547,2026-06-10 16:57:30.365502,0 days 00:00:01.000955,313.5941355609239,3.290387489244661,4,COMPLETE,0.06124296830039788
35,-0.05030975089459755,2026-06-10 16:57:30.365601,2026-06-10 16:57:31.145150,0 days 00:00:00.779549,31.12917796714824,5.228565110311871,7,COMPLETE,0.05030975089459755
36,-0.055327747726251375,2026-06-10 16:57:31.145210,2026-06-10 16:57:32.087720,0 days 00:00:00.942510,773.7321670516172,1.8592285061180296,1,COMPLETE,0.055327747726251375
37,-0.05165664007477522,2026-06-10 16:57:32.087773,2026-06-10 16:57:33.221569,0 days 00:00:01.133796,106.20313243794998,1.0011441019532297,6,COMPLETE,0.05165664007477522
38,-0.04391733226440886,2026-06-10 16:57:33.221671,2026-06-10 16:57:34.773887,0 days 00:00:01.552216,408.25617355786585,0.6613644475520924,4,COMPLETE,0.04391733226440886
39,-0.056855134556199616,2026-06-10 16:57:34.773939,2026-06-10 16:57:35.568545,0 days 00:00:00.794606,176.10682964116532,9.908558636230513,11,COMPLETE,0.056855134556199616
40,-0.01581651126947714,2026-06-10 16:57:35.568603,2026-06-10 16:57:37.283820,0 days 00:00:01.715217,142.3943147971148,0.1458016067056179,3,COMPLETE,0.01581651126947714
41,-0.06136768240184409,2026-06-10 16:57:37.283876,2026-06-10 16:57:38.179594,0 days 00:00:00.895718,267.82110130468647,4.478433279872368,4,COMPLETE,0.06136768240184409
42,-0.06219164884868278,2026-06-10 16:57:38.179690,2026-06-10 16:57:39.066227,0 days 00:00:00.886537,210.99812373011656,3.2880861239418473,5,COMPLETE,0.06219164884868278
43,-0.06246453216960135,2026-06-10 16:57:39.066385,2026-06-10 16:57:40.004991,0 days 00:00:00.938606,210.14498010582705,3.200296807066549,8,COMPLETE,0.06246453216960135
44,-0.0581647191541379,2026-06-10 16:57:40.005178,2026-06-10 16:57:41.143955,0 days 00:00:01.138777,212.28803211163003,1.405085002622818,7,COMPLETE,0.0581647191541379
45,-0.06119912468541311,2026-06-10 16:57:41.144011,2026-06-10 16:57:42.095914,0 days 00:00:00.951903,169.9939936525458,2.0478387994820393,8,COMPLETE,0.06119912468541311
46,-0.06206008432194776,2026-06-10 16:57:42.095969,2026-06-10 16:57:42.974769,0 days 00:00:00.878800,130.1959840562924,2.833609599110315,13,COMPLETE,0.06206008432194776
