number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.055618445002295736,2026-06-09 16:39:43.240235,2026-06-09 16:39:43.270003,0 days 00:00:00.029768,111.5579284069578,7.969454818643932,15,COMPLETE,0.055618445002295736
1,-0.040740331514977135,2026-06-09 16:39:43.270099,2026-06-09 16:39:43.296918,0 days 00:00:00.026819,244.79668704186594,0.20513382630874502,3,COMPLETE,0.040740331514977135
2,-0.048586763029571545,2026-06-09 16:39:43.296971,2026-06-09 16:39:43.322170,0 days 00:00:00.025199,36.77693677430325,5.3994844097874335,12,COMPLETE,0.048586763029571545
3,-0.037947927137797266,2026-06-09 16:39:43.322219,2026-06-09 16:39:43.352459,0 days 00:00:00.030240,359.27742843713463,0.10994335574766201,20,COMPLETE,0.037947927137797266
4,-0.03891284789560567,2026-06-09 16:39:43.352506,2026-06-09 16:39:43.377120,0 days 00:00:00.024614,555.6872843629607,0.26587543983272705,3,COMPLETE,0.03891284789560567
5,-0.03760452484176546,2026-06-09 16:39:43.377163,2026-06-09 16:39:43.401455,0 days 00:00:00.024292,57.07213043685121,0.4059611610484306,11,COMPLETE,0.03760452484176546
6,-0.04366560940911446,2026-06-09 16:39:43.401498,2026-06-09 16:39:43.425523,0 days 00:00:00.024025,136.43353841454115,0.38234752246751863,12,COMPLETE,0.04366560940911446
7,-0.03453778718973943,2026-06-09 16:39:43.425566,2026-06-09 16:39:43.449283,0 days 00:00:00.023717,48.927552340819936,0.3839629299804172,7,COMPLETE,0.03453778718973943
8,-0.05381787017888606,2026-06-09 16:39:43.449323,2026-06-09 16:39:43.472994,0 days 00:00:00.023671,148.47746361371384,3.7183641805732086,4,COMPLETE,0.05381787017888606
9,-0.049666356938178,2026-06-09 16:39:43.473033,2026-06-09 16:39:43.496948,0 days 00:00:00.023915,182.06981506056835,1.530485212183147,0,COMPLETE,0.049666356938178
10,-0.04456939575586327,2026-06-09 16:39:43.496988,2026-06-09 16:39:43.523445,0 days 00:00:00.026457,843.7035560939527,1.3112992007873703,20,COMPLETE,0.04456939575586327
11,-0.05537239653003767,2026-06-09 16:39:43.523488,2026-06-09 16:39:43.548631,0 days 00:00:00.025143,101.23556360243046,9.552896679671543,16,COMPLETE,0.05537239653003767
12,-0.05459624031347776,2026-06-09 16:39:43.548674,2026-06-09 16:39:43.573693,0 days 00:00:00.025019,82.48181653506093,9.36431622150994,16,COMPLETE,0.05459624031347776
13,-0.05561952371710166,2026-06-09 16:39:43.573735,2026-06-09 16:39:43.600769,0 days 00:00:00.027034,111.89908303677664,9.812286639995188,16,COMPLETE,0.05561952371710166
14,-0.052260849003716636,2026-06-09 16:39:43.600841,2026-06-09 16:39:43.627941,0 days 00:00:00.027100,81.7415192572285,3.426615048235642,16,COMPLETE,0.052260849003716636
15,-0.05398961377428968,2026-06-09 16:39:43.627990,2026-06-09 16:39:43.653671,0 days 00:00:00.025681,263.3882087167005,5.373713206635388,14,COMPLETE,0.05398961377428968
16,-0.05024001982801218,2026-06-09 16:39:43.653713,2026-06-09 16:39:43.679017,0 days 00:00:00.025304,101.61841815775342,1.7768797798060252,9,COMPLETE,0.05024001982801218
17,-0.047787238444569224,2026-06-09 16:39:43.679062,2026-06-09 16:39:43.704294,0 days 00:00:00.025232,32.906117945453104,5.5324460360731065,18,COMPLETE,0.047787238444569224
18,-0.05163345181377743,2026-06-09 16:39:43.704336,2026-06-09 16:39:43.729897,0 days 00:00:00.025561,208.8096565169677,2.519347583732501,14,COMPLETE,0.05163345181377743
19,-0.05455813012531163,2026-06-09 16:39:43.729943,2026-06-09 16:39:43.755399,0 days 00:00:00.025456,364.2311766491462,9.59045749323398,9,COMPLETE,0.05455813012531163
20,-0.04614334631703332,2026-06-09 16:39:43.755443,2026-06-09 16:39:43.780508,0 days 00:00:00.025065,130.6966951627226,0.6821018330793576,14,COMPLETE,0.04614334631703332
21,-0.0533180245851097,2026-06-09 16:39:43.780551,2026-06-09 16:39:43.805708,0 days 00:00:00.025157,65.70429955707364,9.908401112073149,17,COMPLETE,0.0533180245851097
22,-0.05520450410409794,2026-06-09 16:39:43.805751,2026-06-09 16:39:43.831068,0 days 00:00:00.025317,102.8826978191164,6.595858681145771,18,COMPLETE,0.05520450410409794
23,-0.05344717060957194,2026-06-09 16:39:43.831111,2026-06-09 16:39:43.856614,0 days 00:00:00.025503,104.90422172248357,3.5927186383067813,15,COMPLETE,0.05344717060957194
24,-0.050836358462665654,2026-06-09 16:39:43.856662,2026-06-09 16:39:43.882517,0 days 00:00:00.025855,44.366014358583215,7.321019320007719,18,COMPLETE,0.050836358462665654
25,-0.05313718666096656,2026-06-09 16:39:43.882562,2026-06-09 16:39:43.909243,0 days 00:00:00.026681,74.73170407400666,4.894057592170779,12,COMPLETE,0.05313718666096656
26,-0.05215129293344256,2026-06-09 16:39:43.909291,2026-06-09 16:39:43.934859,0 days 00:00:00.025568,166.53805553616198,2.5627590821942894,16,COMPLETE,0.05215129293344256
27,-0.055637935976411645,2026-06-09 16:39:43.934904,2026-06-09 16:39:43.960374,0 days 00:00:00.025470,116.72901107474661,7.457935385978866,19,COMPLETE,0.055637935976411645
28,-0.054546185748356346,2026-06-09 16:39:43.960449,2026-06-09 16:39:43.988901,0 days 00:00:00.028452,288.03077211113373,7.095953497255424,20,COMPLETE,0.054546185748356346
29,-0.05381765407661654,2026-06-09 16:39:43.988949,2026-06-09 16:39:44.014550,0 days 00:00:00.025601,200.67597952338204,4.216570072024104,19,COMPLETE,0.05381765407661654
30,-0.05232023271934039,2026-06-09 16:39:44.014596,2026-06-09 16:39:44.040103,0 days 00:00:00.025507,119.32276649186957,2.596503767765376,13,COMPLETE,0.05232023271934039
31,-0.054721498862671636,2026-06-09 16:39:44.040147,2026-06-09 16:39:44.065558,0 days 00:00:00.025411,85.13501374408364,7.514383262620834,17,COMPLETE,0.054721498862671636
32,-0.05291048821664801,2026-06-09 16:39:44.065602,2026-06-09 16:39:44.091947,0 days 00:00:00.026345,60.87336685024325,7.292170051734755,16,COMPLETE,0.05291048821664801
33,-0.055534386448386264,2026-06-09 16:39:44.092000,2026-06-09 16:39:44.120754,0 days 00:00:00.028754,108.70966880571629,9.98629636165533,15,COMPLETE,0.055534386448386264
34,-0.05515433732040187,2026-06-09 16:39:44.120805,2026-06-09 16:39:44.150276,0 days 00:00:00.029471,142.69203944886004,5.523488337231182,19,COMPLETE,0.05515433732040187
35,-0.05392114830489636,2026-06-09 16:39:44.150324,2026-06-09 16:39:44.176238,0 days 00:00:00.025914,217.43462214584076,4.566155695129907,10,COMPLETE,0.05392114830489636
36,-0.040115997966846284,2026-06-09 16:39:44.176282,2026-06-09 16:39:44.201914,0 days 00:00:00.025632,117.49781428116181,0.15147749198726182,14,COMPLETE,0.040115997966846284
37,-0.0538935458293035,2026-06-09 16:39:44.201958,2026-06-09 16:39:44.227694,0 days 00:00:00.025736,327.2979734939254,6.275309549241271,13,COMPLETE,0.0538935458293035
38,-0.0558155068598476,2026-06-09 16:39:44.227740,2026-06-09 16:39:44.253261,0 days 00:00:00.025521,166.94867334890296,8.167153296145486,15,COMPLETE,0.0558155068598476
39,-0.05289952159213207,2026-06-09 16:39:44.253332,2026-06-09 16:39:44.280141,0 days 00:00:00.026809,161.84841100598524,3.024725582436339,11,COMPLETE,0.05289952159213207
40,-0.05123318128747156,2026-06-09 16:39:44.280188,2026-06-09 16:39:44.306056,0 days 00:00:00.025868,528.4904291243673,4.255295481434099,19,COMPLETE,0.05123318128747156
41,-0.055799009653135,2026-06-09 16:39:44.306103,2026-06-09 16:39:44.331728,0 days 00:00:00.025625,126.757637000304,7.925352933781447,15,COMPLETE,0.055799009653135
42,-0.055851715677225355,2026-06-09 16:39:44.331774,2026-06-09 16:39:44.357041,0 days 00:00:00.025267,140.83820198629365,7.921456677278754,17,COMPLETE,0.055851715677225355
43,-0.055721428762045555,2026-06-09 16:39:44.357116,2026-06-09 16:39:44.384053,0 days 00:00:00.026937,179.05858106755008,8.028477232285088,17,COMPLETE,0.055721428762045555
44,-0.05512980872253581,2026-06-09 16:39:44.384099,2026-06-09 16:39:44.409766,0 days 00:00:00.025667,182.13480621889946,6.023669395305672,17,COMPLETE,0.05512980872253581
45,-0.05519672076615012,2026-06-09 16:39:44.409810,2026-06-09 16:39:44.435138,0 days 00:00:00.025328,230.63867871731313,7.573619884105987,18,COMPLETE,0.05519672076615012
46,-0.05589392873309229,2026-06-09 16:39:44.435186,2026-06-09 16:39:44.460744,0 days 00:00:00.025558,147.06871481900757,8.290820362812298,20,COMPLETE,0.05589392873309229
