number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.07100653414429225,2026-06-09 16:32:02.975905,2026-06-09 16:32:03.128793,0 days 00:00:00.152888,111.5579284069578,7.969454818643932,15,COMPLETE,0.07100653414429225
1,-0.05508457904297803,2026-06-09 16:32:03.128890,2026-06-09 16:32:03.481129,0 days 00:00:00.352239,244.79668704186594,0.20513382630874502,3,COMPLETE,0.05508457904297803
2,-0.07132726900968567,2026-06-09 16:32:03.481183,2026-06-09 16:32:03.677092,0 days 00:00:00.195909,36.77693677430325,5.3994844097874335,12,COMPLETE,0.07132726900968567
3,-0.03889968149897893,2026-06-09 16:32:03.677178,2026-06-09 16:32:04.070713,0 days 00:00:00.393535,359.27742843713463,0.10994335574766201,20,COMPLETE,0.03889968149897893
4,-0.05665502762972041,2026-06-09 16:32:04.070810,2026-06-09 16:32:04.404938,0 days 00:00:00.334128,555.6872843629607,0.26587543983272705,3,COMPLETE,0.05665502762972041
5,-0.046262707082261434,2026-06-09 16:32:04.405033,2026-06-09 16:32:04.644635,0 days 00:00:00.239602,57.07213043685121,0.4059611610484306,11,COMPLETE,0.046262707082261434
6,-0.06611236964569578,2026-06-09 16:32:04.644733,2026-06-09 16:32:04.917359,0 days 00:00:00.272626,136.43353841454115,0.38234752246751863,12,COMPLETE,0.06611236964569578
7,-0.03935227892428694,2026-06-09 16:32:04.917415,2026-06-09 16:32:05.108433,0 days 00:00:00.191018,48.927552340819936,0.3839629299804172,7,COMPLETE,0.03935227892428694
8,-0.07924193409014757,2026-06-09 16:32:05.108521,2026-06-09 16:32:05.258826,0 days 00:00:00.150305,148.47746361371384,3.7183641805732086,4,COMPLETE,0.07924193409014757
9,-0.08104074867144428,2026-06-09 16:32:05.258905,2026-06-09 16:32:05.436304,0 days 00:00:00.177399,182.06981506056835,1.530485212183147,0,COMPLETE,0.08104074867144428
10,-0.07304969529821614,2026-06-09 16:32:05.436385,2026-06-09 16:32:05.651664,0 days 00:00:00.215279,855.5613736838227,1.3112992007873703,0,COMPLETE,0.07304969529821614
11,-0.08149922684738908,2026-06-09 16:32:05.651716,2026-06-09 16:32:05.779874,0 days 00:00:00.128158,155.5393744851735,2.1708641700498124,0,COMPLETE,0.08149922684738908
12,-0.0802703858299686,2026-06-09 16:32:05.780003,2026-06-09 16:32:05.915025,0 days 00:00:00.135022,222.93070965428748,1.62875944133533,0,COMPLETE,0.0802703858299686
13,-0.08109134808267604,2026-06-09 16:32:05.915072,2026-06-09 16:32:06.026217,0 days 00:00:00.111145,98.83445439497011,1.7586159976012807,0,COMPLETE,0.08109134808267604
14,-0.07900032469980223,2026-06-09 16:32:06.026269,2026-06-09 16:32:06.188587,0 days 00:00:00.162318,81.7415192572285,2.8012966873379868,6,COMPLETE,0.07900032469980223
15,-0.07271368068257889,2026-06-09 16:32:06.188630,2026-06-09 16:32:06.381767,0 days 00:00:00.193137,91.58674405451043,0.7148659495423882,6,COMPLETE,0.07271368068257889
16,-0.07774358194347653,2026-06-09 16:32:06.381852,2026-06-09 16:32:06.513736,0 days 00:00:00.131884,334.88329698541907,2.5270113380978634,2,COMPLETE,0.07774358194347653
17,-0.07027101592959784,2026-06-09 16:32:06.513785,2026-06-09 16:32:06.700939,0 days 00:00:00.187154,69.79793024256128,0.8656571071455627,8,COMPLETE,0.07027101592959784
18,-0.0645975231045739,2026-06-09 16:32:06.701032,2026-06-09 16:32:06.776790,0 days 00:00:00.075758,36.58791065670138,8.835821011852232,2,COMPLETE,0.0645975231045739
19,-0.07420638742318841,2026-06-09 16:32:06.776881,2026-06-09 16:32:07.007924,0 days 00:00:00.231043,318.66520413883717,0.7971029206805821,5,COMPLETE,0.07420638742318841
20,-0.0786223899846129,2026-06-09 16:32:07.007975,2026-06-09 16:32:07.110399,0 days 00:00:00.102424,125.38361902050964,3.8458148889564825,1,COMPLETE,0.0786223899846129
21,-0.08090593688263903,2026-06-09 16:32:07.110486,2026-06-09 16:32:07.243935,0 days 00:00:00.133449,194.7544748388995,1.6529359281379064,0,COMPLETE,0.08090593688263903
22,-0.08007431757890004,2026-06-09 16:32:07.243980,2026-06-09 16:32:07.392662,0 days 00:00:00.148682,174.2573833156804,1.1410858285005248,0,COMPLETE,0.08007431757890004
23,-0.08154506139504969,2026-06-09 16:32:07.392712,2026-06-09 16:32:07.511025,0 days 00:00:00.118313,110.91876746828981,2.1225329374546784,2,COMPLETE,0.08154506139504969
24,-0.08147211516868025,2026-06-09 16:32:07.511094,2026-06-09 16:32:07.682918,0 days 00:00:00.171824,96.43696117352542,2.389525370602795,4,COMPLETE,0.08147211516868025
25,-0.07754907845536962,2026-06-09 16:32:07.682972,2026-06-09 16:32:07.859325,0 days 00:00:00.176353,66.1758714691354,2.553924568919666,8,COMPLETE,0.07754907845536962
26,-0.07277416996699715,2026-06-09 16:32:07.859414,2026-06-09 16:32:07.990827,0 days 00:00:00.131413,47.583350469081005,4.972991901047554,4,COMPLETE,0.07277416996699715
27,-0.0800822434406534,2026-06-09 16:32:07.990973,2026-06-09 16:32:08.087815,0 days 00:00:00.096842,83.07511876259632,2.19326084359244,2,COMPLETE,0.0800822434406534
28,-0.07782920644600011,2026-06-09 16:32:08.087863,2026-06-09 16:32:08.285068,0 days 00:00:00.197205,266.64216662977515,3.545022339775853,9,COMPLETE,0.07782920644600011
29,-0.07435657076990365,2026-06-09 16:32:08.285163,2026-06-09 16:32:08.438174,0 days 00:00:00.153011,123.35517924596148,6.442112258166852,18,COMPLETE,0.07435657076990365
30,-0.0730261051687845,2026-06-09 16:32:08.438221,2026-06-09 16:32:08.636117,0 days 00:00:00.197896,109.76192914904362,0.5991538986340588,4,COMPLETE,0.0730261051687845
31,-0.07858001018606564,2026-06-09 16:32:08.636208,2026-06-09 16:32:08.759441,0 days 00:00:00.123233,95.71085041033244,1.0971814899589203,2,COMPLETE,0.07858001018606564
32,-0.08196437625301067,2026-06-09 16:32:08.759537,2026-06-09 16:32:08.892227,0 days 00:00:00.132690,105.89017638416858,1.9917871617175025,3,COMPLETE,0.08196437625301067
33,-0.08135636755557019,2026-06-09 16:32:08.892309,2026-06-09 16:32:09.086190,0 days 00:00:00.193881,135.77924809542876,2.2648930563306826,5,COMPLETE,0.08135636755557019
34,-0.07705879051528819,2026-06-09 16:32:09.086290,2026-06-09 16:32:09.233954,0 days 00:00:00.147664,160.09937102716447,4.639791323901224,3,COMPLETE,0.07705879051528819
35,-0.07881787496094195,2026-06-09 16:32:09.234046,2026-06-09 16:32:09.405213,0 days 00:00:00.171167,68.60734095045557,3.254450980442488,15,COMPLETE,0.07881787496094195
36,-0.08208523846818871,2026-06-09 16:32:09.405303,2026-06-09 16:32:09.566170,0 days 00:00:00.160867,109.57763301730384,1.875977462385488,3,COMPLETE,0.08208523846818871
37,-0.0702250807953293,2026-06-09 16:32:09.566251,2026-06-09 16:32:09.703595,0 days 00:00:00.137344,491.60215790687533,6.2603200091953255,3,COMPLETE,0.0702250807953293
38,-0.047386818559747024,2026-06-09 16:32:09.703646,2026-06-09 16:32:10.033299,0 days 00:00:00.329653,237.96094905888464,0.1407049149101859,1,COMPLETE,0.047386818559747024
39,-0.07342988111747906,2026-06-09 16:32:10.033390,2026-06-09 16:32:10.233201,0 days 00:00:00.199811,46.17067497277999,1.8626966314072346,6,COMPLETE,0.07342988111747906
40,-0.07972549954243524,2026-06-09 16:32:10.233250,2026-06-09 16:32:10.354399,0 days 00:00:00.121149,115.80088200732148,1.085512366230256,1,COMPLETE,0.07972549954243524
41,-0.08043886606271278,2026-06-09 16:32:10.354450,2026-06-09 16:32:10.491254,0 days 00:00:00.136804,79.99113300114392,1.9680764029721376,4,COMPLETE,0.08043886606271278
42,-0.08178809428778,2026-06-09 16:32:10.491341,2026-06-09 16:32:10.664915,0 days 00:00:00.173574,152.00413247990429,1.3855321958438416,3,COMPLETE,0.08178809428778
43,-0.07194439637851135,2026-06-09 16:32:10.664967,2026-06-09 16:32:10.909094,0 days 00:00:00.244127,214.3182223592077,0.5194647799703169,3,COMPLETE,0.07194439637851135
44,-0.08073989239320112,2026-06-09 16:32:10.909148,2026-06-09 16:32:11.095768,0 days 00:00:00.186620,152.88692730220197,1.2790257573052135,5,COMPLETE,0.08073989239320112
45,-0.08076348351709373,2026-06-09 16:32:11.095815,2026-06-09 16:32:11.222622,0 days 00:00:00.126807,108.65676847465427,1.3572193900475653,1,COMPLETE,0.08076348351709373
46,-0.0775903348931044,2026-06-09 16:32:11.222719,2026-06-09 16:32:11.344498,0 days 00:00:00.121779,276.8583766840405,3.270519307096197,2,COMPLETE,0.0775903348931044
47,-0.0819762591173997,2026-06-09 16:32:11.344550,2026-06-09 16:32:11.510992,0 days 00:00:00.166442,149.0625308996361,1.4601050508269748,3,COMPLETE,0.0819762591173997
48,-0.0678483149540422,2026-06-09 16:32:11.511036,2026-06-09 16:32:11.690229,0 days 00:00:00.179193,60.04329838406398,0.913345155759385,7,COMPLETE,0.0678483149540422
49,-0.08205486701310671,2026-06-09 16:32:11.690273,2026-06-09 16:32:11.856496,0 days 00:00:00.166223,137.88957493398104,1.4735657499654682,3,COMPLETE,0.08205486701310671
50,-0.08174152950403257,2026-06-09 16:32:11.856538,2026-06-09 16:32:12.014055,0 days 00:00:00.157517,173.50752194079587,1.5255438297936021,3,COMPLETE,0.08174152950403257
51,-0.08212088461161882,2026-06-09 16:32:12.014102,2026-06-09 16:32:12.170270,0 days 00:00:00.156168,143.23937636537661,1.5226775221829718,3,COMPLETE,0.08212088461161882
52,-0.08118528955747983,2026-06-09 16:32:12.170341,2026-06-09 16:32:12.365466,0 days 00:00:00.195125,139.61272710882895,1.404810429534566,5,COMPLETE,0.08118528955747983
53,-0.0794653271057093,2026-06-09 16:32:12.365516,2026-06-09 16:32:12.547615,0 days 00:00:00.182099,130.19876700190673,0.9492219037526833,4,COMPLETE,0.0794653271057093
54,-0.07344649060920982,2026-06-09 16:32:12.547705,2026-06-09 16:32:12.771837,0 days 00:00:00.224132,154.08087703905838,0.5914260385234512,6,COMPLETE,0.07344649060920982
55,-0.0803226556958565,2026-06-09 16:32:12.771891,2026-06-09 16:32:12.923976,0 days 00:00:00.152085,193.39555776962075,2.8790484351747834,3,COMPLETE,0.0803226556958565
56,-0.0806157241358808,2026-06-09 16:32:12.924023,2026-06-09 16:32:13.113210,0 days 00:00:00.189187,199.3714359886861,1.6562862388396007,5,COMPLETE,0.0806157241358808
57,-0.07747992821924943,2026-06-09 16:32:13.113257,2026-06-09 16:32:13.312675,0 days 00:00:00.199418,84.60610761177598,1.2175680467967045,7,COMPLETE,0.07747992821924943
58,-0.07654508477897337,2026-06-09 16:32:13.312771,2026-06-09 16:32:13.528131,0 days 00:00:00.215360,167.84157758892223,0.731909494424248,1,COMPLETE,0.07654508477897337
59,-0.061738101847310656,2026-06-09 16:32:13.528185,2026-06-09 16:32:13.729045,0 days 00:00:00.200860,138.1069545386626,0.28442616625166894,2,COMPLETE,0.061738101847310656
60,-0.07351251243808399,2026-06-09 16:32:13.729091,2026-06-09 16:32:14.009691,0 days 00:00:00.280600,820.5366614609565,1.8845256755264685,10,COMPLETE,0.07351251243808399
61,-0.08180992653387398,2026-06-09 16:32:14.009737,2026-06-09 16:32:14.187050,0 days 00:00:00.177313,177.73369787526374,1.6820175830914115,3,COMPLETE,0.08180992653387398
