number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.07644985218168887,2026-06-10 16:44:28.651620,2026-06-10 16:44:30.262250,0 days 00:00:01.610630,111.5579284069578,7.969454818643932,15,COMPLETE,0.07644985218168887
1,-0.07350938493081405,2026-06-10 16:44:30.262437,2026-06-10 16:44:34.911134,0 days 00:00:04.648697,244.79668704186594,0.20513382630874502,3,COMPLETE,0.07350938493081405
2,-0.06973720839676512,2026-06-10 16:44:34.911193,2026-06-10 16:44:36.508294,0 days 00:00:01.597101,36.77693677430325,5.3994844097874335,12,COMPLETE,0.06973720839676512
3,-0.04942393082839902,2026-06-10 16:44:36.508427,2026-06-10 16:44:43.410678,0 days 00:00:06.902251,359.27742843713463,0.10994335574766201,20,COMPLETE,0.04942393082839902
4,-0.07108744203037642,2026-06-10 16:44:43.410736,2026-06-10 16:44:48.806094,0 days 00:00:05.395358,555.6872843629607,0.26587543983272705,3,COMPLETE,0.07108744203037642
5,-0.06765040179525239,2026-06-10 16:44:48.806150,2026-06-10 16:44:51.264645,0 days 00:00:02.458495,57.07213043685121,0.4059611610484306,11,COMPLETE,0.06765040179525239
6,-0.08178905420920757,2026-06-10 16:44:51.264748,2026-06-10 16:44:54.289179,0 days 00:00:03.024431,136.43353841454115,0.38234752246751863,12,COMPLETE,0.08178905420920757
7,-0.06337527868014103,2026-06-10 16:44:54.289274,2026-06-10 16:44:56.567362,0 days 00:00:02.278088,48.927552340819936,0.3839629299804172,7,COMPLETE,0.06337527868014103
8,-0.08434419361040701,2026-06-10 16:44:56.567461,2026-06-10 16:44:58.263149,0 days 00:00:01.695688,148.47746361371384,3.7183641805732086,4,COMPLETE,0.08434419361040701
9,-0.08835418443811016,2026-06-10 16:44:58.263243,2026-06-10 16:44:59.632985,0 days 00:00:01.369742,182.06981506056835,1.530485212183147,0,COMPLETE,0.08835418443811016
10,-0.08702012888874255,2026-06-10 16:44:59.633287,2026-06-10 16:45:01.761873,0 days 00:00:02.128586,855.5613736838227,1.3112992007873703,0,COMPLETE,0.08702012888874255
11,-0.08750438109564762,2026-06-10 16:45:01.761932,2026-06-10 16:45:04.265261,0 days 00:00:02.503329,788.6538011086226,1.4102131607889323,0,COMPLETE,0.08750438109564762
12,-0.08770624037183872,2026-06-10 16:45:04.265324,2026-06-10 16:45:06.373488,0 days 00:00:02.108164,926.4464188112976,1.62875944133533,0,COMPLETE,0.08770624037183872
13,-0.088949908486467,2026-06-10 16:45:06.373544,2026-06-10 16:45:08.387781,0 days 00:00:02.014237,358.38262762480394,1.392386551572609,0,COMPLETE,0.088949908486467
14,-0.08791829460348122,2026-06-10 16:45:08.387991,2026-06-10 16:45:12.046310,0 days 00:00:03.658319,273.39851177063224,0.8873503640051791,6,COMPLETE,0.08791829460348122
15,-0.08929655212865606,2026-06-10 16:45:12.046412,2026-06-10 16:45:14.419707,0 days 00:00:02.373295,423.01574934425724,2.6101351165654765,6,COMPLETE,0.08929655212865606
16,-0.08822543094963242,2026-06-10 16:45:14.419805,2026-06-10 16:45:16.623564,0 days 00:00:02.203759,482.31467357454324,3.340995729666854,8,COMPLETE,0.08822543094963242
17,-0.08892603223265827,2026-06-10 16:45:16.623619,2026-06-10 16:45:18.832500,0 days 00:00:02.208881,480.25100552432946,2.88538239501056,5,COMPLETE,0.08892603223265827
18,-0.08067129146647001,2026-06-10 16:45:18.832557,2026-06-10 16:45:21.031997,0 days 00:00:02.199440,90.69137040895203,0.7010478624133053,10,COMPLETE,0.08067129146647001
19,-0.08272084351055164,2026-06-10 16:45:21.032053,2026-06-10 16:45:22.645342,0 days 00:00:01.613289,318.66520413883717,8.748720330261992,15,COMPLETE,0.08272084351055164
20,-0.08828274910321054,2026-06-10 16:45:22.645446,2026-06-10 16:45:24.536070,0 days 00:00:01.890624,217.06427474112948,2.4256908254932577,2,COMPLETE,0.08828274910321054
21,-0.08912812730017416,2026-06-10 16:45:24.536170,2026-06-10 16:45:26.863346,0 days 00:00:02.327176,486.7801203466914,2.3793537960598523,5,COMPLETE,0.08912812730017416
22,-0.08368348949348192,2026-06-10 16:45:26.863400,2026-06-10 16:45:30.245136,0 days 00:00:03.381736,609.4718621581012,0.7749648794194738,8,COMPLETE,0.08368348949348192
23,-0.08613848885561115,2026-06-10 16:45:30.245188,2026-06-10 16:45:32.035804,0 days 00:00:01.790616,391.8167206915762,5.299871013561209,2,COMPLETE,0.08613848885561115
24,-0.08889723740113409,2026-06-10 16:45:32.035862,2026-06-10 16:45:34.481338,0 days 00:00:02.445476,629.4587895849517,2.389525370602795,5,COMPLETE,0.08889723740113409
25,-0.08929052482629984,2026-06-10 16:45:34.481436,2026-06-10 16:45:36.969259,0 days 00:00:02.487823,377.3080412261626,2.106397978144513,7,COMPLETE,0.08929052482629984
26,-0.08662414912800664,2026-06-10 16:45:36.969360,2026-06-10 16:45:38.921383,0 days 00:00:01.952023,451.83533405165,4.729223929794938,9,COMPLETE,0.08662414912800664
27,-0.0889145152335219,2026-06-10 16:45:38.921486,2026-06-10 16:45:41.363701,0 days 00:00:02.442215,689.3485487036044,2.19326084359244,6,COMPLETE,0.0889145152335219
28,-0.08802312021527359,2026-06-10 16:45:41.363765,2026-06-10 16:45:43.952272,0 days 00:00:02.588507,285.9830426363712,1.051320862916104,8,COMPLETE,0.08802312021527359
29,-0.08256392950475033,2026-06-10 16:45:43.952329,2026-06-10 16:45:45.706422,0 days 00:00:01.754093,208.89480996242474,7.035825098012608,15,COMPLETE,0.08256392950475033
30,-0.08199103361195748,2026-06-10 16:45:45.706476,2026-06-10 16:45:47.430186,0 days 00:00:01.723710,89.17919923127963,2.043517862434946,13,COMPLETE,0.08199103361195748
31,-0.08794958650191553,2026-06-10 16:45:47.430290,2026-06-10 16:45:49.436904,0 days 00:00:02.006614,400.4750364405136,3.856417325307076,5,COMPLETE,0.08794958650191553
32,-0.08932186955398125,2026-06-10 16:45:49.436960,2026-06-10 16:45:51.882486,0 days 00:00:02.445526,352.94988476019125,1.7904319826816595,2,COMPLETE,0.08932186955398125
33,-0.08497523260649753,2026-06-10 16:45:51.882576,2026-06-10 16:45:55.139417,0 days 00:00:03.256841,260.7040262938781,0.5651332274184083,3,COMPLETE,0.08497523260649753
34,-0.08730593149096955,2026-06-10 16:45:55.139471,2026-06-10 16:45:58.258923,0 days 00:00:03.119452,500.98377860809904,1.0774372599079012,7,COMPLETE,0.08730593149096955
35,-0.08969557339965106,2026-06-10 16:45:58.258979,2026-06-10 16:46:00.490920,0 days 00:00:02.231941,328.2394389162157,1.8823115886776018,19,COMPLETE,0.08969557339965106
36,-0.08970614936871724,2026-06-10 16:46:00.491016,2026-06-10 16:46:02.877571,0 days 00:00:02.386555,343.619233547389,1.7777776693995337,20,COMPLETE,0.08970614936871724
37,-0.0878260091900065,2026-06-10 16:46:02.877663,2026-06-10 16:46:05.212948,0 days 00:00:02.335285,163.72687925634006,1.7228356681535046,20,COMPLETE,0.0878260091900065
38,-0.05819270146084399,2026-06-10 16:46:05.213005,2026-06-10 16:46:10.591858,0 days 00:00:05.378853,321.1846384795752,0.1407049149101859,18,COMPLETE,0.05819270146084399
39,-0.08325695038094305,2026-06-10 16:46:10.591912,2026-06-10 16:46:12.551569,0 days 00:00:01.959657,221.34290017410433,6.6673812080362955,17,COMPLETE,0.08325695038094305
40,-0.0844301474948499,2026-06-10 16:46:12.551670,2026-06-10 16:46:14.789605,0 days 00:00:02.237935,130.94086516976492,3.274103868201968,18,COMPLETE,0.0844301474948499
41,-0.08974155610344026,2026-06-10 16:46:14.789664,2026-06-10 16:46:17.251926,0 days 00:00:02.462262,336.8101972440789,1.9535387074369797,19,COMPLETE,0.08974155610344026
42,-0.08814381600695054,2026-06-10 16:46:17.252110,2026-06-10 16:46:19.938750,0 days 00:00:02.686640,329.92107059691267,1.1353009246731731,19,COMPLETE,0.08814381600695054
43,-0.08966793314125199,2026-06-10 16:46:19.938808,2026-06-10 16:46:22.230361,0 days 00:00:02.291553,250.13867581731932,1.7812115702452225,16,COMPLETE,0.08966793314125199
44,-0.08948143597989078,2026-06-10 16:46:22.230415,2026-06-10 16:46:24.654056,0 days 00:00:02.423641,246.18864341703556,1.8493753991125492,17,COMPLETE,0.08948143597989078
45,-0.08501795359134756,2026-06-10 16:46:24.654109,2026-06-10 16:46:27.269623,0 days 00:00:02.615514,183.08500585404812,0.5798275187093712,16,COMPLETE,0.08501795359134756
46,-0.08862121059195327,2026-06-10 16:46:27.269729,2026-06-10 16:46:29.651005,0 days 00:00:02.381276,235.19063030892266,1.2367482317770488,19,COMPLETE,0.08862121059195327
47,-0.08796348245437857,2026-06-10 16:46:29.651060,2026-06-10 16:46:31.696489,0 days 00:00:02.045429,281.47455419547555,4.014851276002519,17,COMPLETE,0.08796348245437857
48,-0.08821879836634239,2026-06-10 16:46:31.696596,2026-06-10 16:46:33.935301,0 days 00:00:02.238705,183.2958769487706,1.748158504737485,13,COMPLETE,0.08821879836634239
49,-0.08564960735539495,2026-06-10 16:46:33.935401,2026-06-10 16:46:36.230617,0 days 00:00:02.295216,138.62635130784582,0.8904724569084159,19,COMPLETE,0.08564960735539495
50,-0.08864658738731312,2026-06-10 16:46:36.230669,2026-06-10 16:46:38.338571,0 days 00:00:02.107902,250.5963021908788,3.091898559358352,20,COMPLETE,0.08864658738731312
