number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.13876027752007203,2026-06-12 23:48:54.778589,2026-06-12 23:48:59.677793,0 days 00:00:04.899204,111.5579284069578,7.969454818643932,15,COMPLETE,0.13876027752007203
1,-0.1327595318343967,2026-06-12 23:48:59.677946,2026-06-12 23:49:45.634400,0 days 00:00:45.956454,244.79668704186594,0.20513382630874502,3,COMPLETE,0.1327595318343967
2,-0.13443231758742447,2026-06-12 23:49:45.634458,2026-06-12 23:49:49.611104,0 days 00:00:03.976646,36.77693677430325,5.3994844097874335,12,COMPLETE,0.13443231758742447
3,-0.11783797643197325,2026-06-12 23:49:49.611202,2026-06-12 23:50:46.241286,0 days 00:00:56.630084,359.27742843713463,0.10994335574766201,20,COMPLETE,0.11783797643197325
4,-0.13380859517998323,2026-06-12 23:50:46.241340,2026-06-12 23:51:28.134651,0 days 00:00:41.893311,555.6872843629607,0.26587543983272705,3,COMPLETE,0.13380859517998323
5,-0.13106620073381825,2026-06-12 23:51:28.134752,2026-06-12 23:51:46.722464,0 days 00:00:18.587712,57.07213043685121,0.4059611610484306,11,COMPLETE,0.13106620073381825
6,-0.1397690015901789,2026-06-12 23:51:46.722521,2026-06-12 23:52:12.656924,0 days 00:00:25.934403,136.43353841454115,0.38234752246751863,12,COMPLETE,0.1397690015901789
7,-0.12701047269884758,2026-06-12 23:52:12.656994,2026-06-12 23:52:30.423696,0 days 00:00:17.766702,48.927552340819936,0.3839629299804172,7,COMPLETE,0.12701047269884758
8,-0.1443202689583719,2026-06-12 23:52:30.423747,2026-06-12 23:52:38.964940,0 days 00:00:08.541193,148.47746361371384,3.7183641805732086,4,COMPLETE,0.1443202689583719
9,-0.1469278173715033,2026-06-12 23:52:38.965062,2026-06-12 23:52:52.970358,0 days 00:00:14.005296,182.06981506056835,1.530485212183147,0,COMPLETE,0.1469278173715033
10,-0.14749617241072732,2026-06-12 23:52:52.970471,2026-06-12 23:53:13.570722,0 days 00:00:20.600251,855.5613736838227,1.3112992007873703,0,COMPLETE,0.14749617241072732
11,-0.14766576367726725,2026-06-12 23:53:13.570793,2026-06-12 23:53:32.554975,0 days 00:00:18.984182,788.6538011086226,1.4102131607889323,0,COMPLETE,0.14766576367726725
12,-0.14723600711235318,2026-06-12 23:53:32.555094,2026-06-12 23:53:54.913825,0 days 00:00:22.358731,950.0193253345249,1.1981678050611488,0,COMPLETE,0.14723600711235318
13,-0.1472867138432885,2026-06-12 23:53:54.913884,2026-06-12 23:54:16.777505,0 days 00:00:21.863621,990.3327915678841,1.2330596011102302,0,COMPLETE,0.1472867138432885
14,-0.14645747925001795,2026-06-12 23:54:16.777643,2026-06-12 23:54:30.627487,0 days 00:00:13.849844,508.6217591085819,2.5628966520895156,6,COMPLETE,0.14645747925001795
15,-0.1424911140736722,2026-06-12 23:54:30.627588,2026-06-12 23:54:57.456926,0 days 00:00:26.829338,622.231755360573,0.7148659495423882,6,COMPLETE,0.1424911140736722
16,-0.1476502911913572,2026-06-12 23:54:57.456978,2026-06-12 23:55:11.918376,0 days 00:00:14.461398,348.77388008438544,2.1247313846369957,2,COMPLETE,0.1476502911913572
17,-0.14676766481077252,2026-06-12 23:55:11.918428,2026-06-12 23:55:25.405882,0 days 00:00:13.487454,336.6680384668558,2.4918645931020484,9,COMPLETE,0.14676766481077252
18,-0.14455397532197556,2026-06-12 23:55:25.405944,2026-06-12 23:55:50.170585,0 days 00:00:24.764641,356.657577415166,0.7010478624133053,3,COMPLETE,0.14455397532197556
19,-0.14293445121402537,2026-06-12 23:55:50.170684,2026-06-12 23:56:00.445704,0 days 00:00:10.275020,93.31527161255934,2.0046179107204467,2,COMPLETE,0.14293445121402537
20,-0.14555267628048563,2026-06-12 23:56:00.445806,2026-06-12 23:56:09.509917,0 days 00:00:09.064111,234.89660850982958,4.334615482725457,5,COMPLETE,0.14555267628048563
21,-0.14637372216118594,2026-06-12 23:56:09.509975,2026-06-12 23:56:34.759248,0 days 00:00:25.249273,702.2933921415773,0.8723116901880682,1,COMPLETE,0.14637372216118594
22,-0.14760708720154336,2026-06-12 23:56:34.759298,2026-06-12 23:56:53.333588,0 days 00:00:18.574290,760.729636414044,1.7251684164693621,2,COMPLETE,0.14760708720154336
23,-0.14720443610302913,2026-06-12 23:56:53.333641,2026-06-12 23:57:04.421771,0 days 00:00:11.088130,448.9504180358201,3.3720252568857516,2,COMPLETE,0.14720443610302913
24,-0.14659158558433127,2026-06-12 23:57:04.421824,2026-06-12 23:57:21.592449,0 days 00:00:17.170625,719.218467755066,1.8158532922746564,4,COMPLETE,0.14659158558433127
