number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.025029968712796058,2026-06-12 23:48:48.446275,2026-06-12 23:48:49.159968,0 days 00:00:00.713693,111.5579284069578,7.969454818643932,15,COMPLETE,0.025029968712796058
1,-0.02137583706495838,2026-06-12 23:48:49.160052,2026-06-12 23:48:50.918563,0 days 00:00:01.758511,244.79668704186594,0.20513382630874502,3,COMPLETE,0.02137583706495838
2,-0.010160729294544923,2026-06-12 23:48:50.918752,2026-06-12 23:48:51.562015,0 days 00:00:00.643263,36.77693677430325,5.3994844097874335,12,COMPLETE,0.010160729294544923
3,-0.0036617737263019423,2026-06-12 23:48:51.562068,2026-06-12 23:48:54.353417,0 days 00:00:02.791349,359.27742843713463,0.10994335574766201,20,COMPLETE,0.0036617737263019423
4,-0.020948055407968513,2026-06-12 23:48:54.353536,2026-06-12 23:49:33.694711,0 days 00:00:39.341175,555.6872843629607,0.26587543983272705,3,COMPLETE,0.020948055407968513
5,-0.0179326120166291,2026-06-12 23:49:33.694812,2026-06-12 23:49:51.462492,0 days 00:00:17.767680,57.07213043685121,0.4059611610484306,11,COMPLETE,0.0179326120166291
6,-0.027156265335453122,2026-06-12 23:49:51.462544,2026-06-12 23:50:15.887797,0 days 00:00:24.425253,136.43353841454115,0.38234752246751863,12,COMPLETE,0.027156265335453122
7,-0.01582821674613155,2026-06-12 23:50:15.887918,2026-06-12 23:50:32.126472,0 days 00:00:16.238554,48.927552340819936,0.3839629299804172,7,COMPLETE,0.01582821674613155
8,-0.03310761288540176,2026-06-12 23:50:32.126526,2026-06-12 23:50:39.451976,0 days 00:00:07.325450,148.47746361371384,3.7183641805732086,4,COMPLETE,0.03310761288540176
9,-0.03770770668079304,2026-06-12 23:50:39.452046,2026-06-12 23:50:52.183589,0 days 00:00:12.731543,182.06981506056835,1.530485212183147,0,COMPLETE,0.03770770668079304
10,-0.03814103244548228,2026-06-12 23:50:52.183701,2026-06-12 23:51:11.999331,0 days 00:00:19.815630,855.5613736838227,1.3112992007873703,0,COMPLETE,0.03814103244548228
11,-0.038586120221122955,2026-06-12 23:51:11.999404,2026-06-12 23:51:31.874241,0 days 00:00:19.874837,788.6538011086226,1.4102131607889323,0,COMPLETE,0.038586120221122955
12,-0.03749050021892286,2026-06-12 23:51:31.874308,2026-06-12 23:51:53.061783,0 days 00:00:21.187475,950.0193253345249,1.1981678050611488,0,COMPLETE,0.03749050021892286
13,-0.03762859082131331,2026-06-12 23:51:53.061836,2026-06-12 23:52:14.555816,0 days 00:00:21.493980,990.3327915678841,1.2330596011102302,0,COMPLETE,0.03762859082131331
14,-0.038677509305585334,2026-06-12 23:52:14.555870,2026-06-12 23:52:28.345078,0 days 00:00:13.789208,508.6217591085819,2.5628966520895156,6,COMPLETE,0.038677509305585334
15,-0.03864192278354617,2026-06-12 23:52:28.345147,2026-06-12 23:52:41.475496,0 days 00:00:13.130349,472.2998585053038,2.5571307266602687,7,COMPLETE,0.03864192278354617
16,-0.038516601400850226,2026-06-12 23:52:41.475552,2026-06-12 23:52:53.886291,0 days 00:00:12.410739,446.92940825914553,2.797526465701831,7,COMPLETE,0.038516601400850226
17,-0.037743807549816766,2026-06-12 23:52:53.886395,2026-06-12 23:53:05.429465,0 days 00:00:11.543070,285.1820294829757,2.8450023924678356,7,COMPLETE,0.037743807549816766
