number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.029533281323504634,2026-06-09 16:40:36.377290,2026-06-09 16:40:36.496658,0 days 00:00:00.119368,111.5579284069578,7.969454818643932,15,COMPLETE,0.029533281323504634
1,-0.01786861119122707,2026-06-09 16:40:36.496837,2026-06-09 16:40:36.627137,0 days 00:00:00.130300,244.79668704186594,0.20513382630874502,3,COMPLETE,0.01786861119122707
2,-0.026241772574742694,2026-06-09 16:40:36.627252,2026-06-09 16:40:36.754150,0 days 00:00:00.126898,36.77693677430325,5.3994844097874335,12,COMPLETE,0.026241772574742694
3,0.0005672633738655897,2026-06-09 16:40:36.754205,2026-06-09 16:40:36.888507,0 days 00:00:00.134302,359.27742843713463,0.10994335574766201,20,COMPLETE,-0.0005672633738655897
4,-0.01700144123495717,2026-06-09 16:40:36.888560,2026-06-09 16:40:37.039720,0 days 00:00:00.151160,555.6872843629607,0.26587543983272705,3,COMPLETE,0.01700144123495717
5,-0.02850708691111603,2026-06-09 16:40:37.039824,2026-06-09 16:40:37.171836,0 days 00:00:00.132012,57.07213043685121,0.4059611610484306,11,COMPLETE,0.02850708691111603
6,-0.029924133102639083,2026-06-09 16:40:37.171890,2026-06-09 16:40:37.313401,0 days 00:00:00.141511,136.43353841454115,0.38234752246751863,12,COMPLETE,0.029924133102639083
7,-0.026923968541208043,2026-06-09 16:40:37.313489,2026-06-09 16:40:37.451902,0 days 00:00:00.138413,48.927552340819936,0.3839629299804172,7,COMPLETE,0.026923968541208043
8,-0.03455168315038859,2026-06-09 16:40:37.452002,2026-06-09 16:40:37.573011,0 days 00:00:00.121009,148.47746361371384,3.7183641805732086,4,COMPLETE,0.03455168315038859
9,-0.035918602801767285,2026-06-09 16:40:37.573158,2026-06-09 16:40:37.725102,0 days 00:00:00.151944,182.06981506056835,1.530485212183147,0,COMPLETE,0.035918602801767285
10,-0.03118963418450338,2026-06-09 16:40:37.725254,2026-06-09 16:40:37.885394,0 days 00:00:00.160140,855.5613736838227,1.3112992007873703,0,COMPLETE,0.03118963418450338
11,-0.03606906876978999,2026-06-09 16:40:37.885450,2026-06-09 16:40:38.045503,0 days 00:00:00.160053,155.5393744851735,2.1708641700498124,0,COMPLETE,0.03606906876978999
12,-0.03527215514273363,2026-06-09 16:40:38.045588,2026-06-09 16:40:38.184368,0 days 00:00:00.138780,222.93070965428748,1.62875944133533,0,COMPLETE,0.03527215514273363
13,-0.0362903493691229,2026-06-09 16:40:38.184470,2026-06-09 16:40:38.336549,0 days 00:00:00.152079,98.83445439497011,1.7586159976012807,0,COMPLETE,0.0362903493691229
14,-0.03484476397342251,2026-06-09 16:40:38.336635,2026-06-09 16:40:38.473989,0 days 00:00:00.137354,81.7415192572285,2.8012966873379868,6,COMPLETE,0.03484476397342251
15,-0.03442137032587711,2026-06-09 16:40:38.474043,2026-06-09 16:40:38.627626,0 days 00:00:00.153583,91.58674405451043,0.7148659495423882,6,COMPLETE,0.03442137032587711
16,-0.033443135300923355,2026-06-09 16:40:38.627725,2026-06-09 16:40:38.761313,0 days 00:00:00.133588,334.88329698541907,2.5270113380978634,2,COMPLETE,0.033443135300923355
17,-0.034129050326061616,2026-06-09 16:40:38.761362,2026-06-09 16:40:38.897780,0 days 00:00:00.136418,69.79793024256128,0.8656571071455627,8,COMPLETE,0.034129050326061616
18,-0.021589580436040312,2026-06-09 16:40:38.897831,2026-06-09 16:40:39.032001,0 days 00:00:00.134170,36.58791065670138,8.835821011852232,2,COMPLETE,0.021589580436040312
19,-0.032067456017823126,2026-06-09 16:40:39.032055,2026-06-09 16:40:39.197914,0 days 00:00:00.165859,318.66520413883717,0.7971029206805821,5,COMPLETE,0.032067456017823126
20,-0.03445956287911256,2026-06-09 16:40:39.198014,2026-06-09 16:40:39.351890,0 days 00:00:00.153876,125.38361902050964,3.8458148889564825,1,COMPLETE,0.03445956287911256
