number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.07159087222570171,2026-06-10 16:50:37.578911,2026-06-10 16:50:38.812986,0 days 00:00:01.234075,111.5579284069578,7.969454818643932,15,COMPLETE,0.07159087222570171
1,-0.061305733063078294,2026-06-10 16:50:38.813123,2026-06-10 16:50:43.477500,0 days 00:00:04.664377,244.79668704186594,0.20513382630874502,3,COMPLETE,0.061305733063078294
2,-0.0667296201040567,2026-06-10 16:50:43.477622,2026-06-10 16:50:44.731964,0 days 00:00:01.254342,36.77693677430325,5.3994844097874335,12,COMPLETE,0.0667296201040567
3,-0.03811613169916872,2026-06-10 16:50:44.732029,2026-06-10 16:50:50.910272,0 days 00:00:06.178243,359.27742843713463,0.10994335574766201,20,COMPLETE,0.03811613169916872
4,-0.05898179388953084,2026-06-10 16:50:50.910330,2026-06-10 16:50:56.622513,0 days 00:00:05.712183,555.6872843629607,0.26587543983272705,3,COMPLETE,0.05898179388953084
5,-0.06590065838391135,2026-06-10 16:50:56.622570,2026-06-10 16:50:58.489641,0 days 00:00:01.867071,57.07213043685121,0.4059611610484306,11,COMPLETE,0.06590065838391135
6,-0.07283994237660363,2026-06-10 16:50:58.489701,2026-06-10 16:51:00.766154,0 days 00:00:02.276453,136.43353841454115,0.38234752246751863,12,COMPLETE,0.07283994237660363
7,-0.06237895448693731,2026-06-10 16:51:00.766247,2026-06-10 16:51:02.566677,0 days 00:00:01.800430,48.927552340819936,0.3839629299804172,7,COMPLETE,0.06237895448693731
8,-0.07830594669679714,2026-06-10 16:51:02.566729,2026-06-10 16:51:03.900773,0 days 00:00:01.334044,148.47746361371384,3.7183641805732086,4,COMPLETE,0.07830594669679714
9,-0.0811164288988867,2026-06-10 16:51:03.900868,2026-06-10 16:51:05.054441,0 days 00:00:01.153573,182.06981506056835,1.530485212183147,0,COMPLETE,0.0811164288988867
10,-0.07648796020134263,2026-06-10 16:51:05.054535,2026-06-10 16:51:06.858566,0 days 00:00:01.804031,855.5613736838227,1.3112992007873703,0,COMPLETE,0.07648796020134263
11,-0.08072217026822148,2026-06-10 16:51:06.858663,2026-06-10 16:51:07.868850,0 days 00:00:01.010187,155.5393744851735,2.1708641700498124,0,COMPLETE,0.08072217026822148
12,-0.0809579666037139,2026-06-10 16:51:07.868907,2026-06-10 16:51:09.534744,0 days 00:00:01.665837,222.93070965428748,1.62875944133533,0,COMPLETE,0.0809579666037139
13,-0.07897580345370403,2026-06-10 16:51:09.534801,2026-06-10 16:51:11.919701,0 days 00:00:02.384900,286.69340281834997,1.0342687571912086,0,COMPLETE,0.07897580345370403
14,-0.0773285194364387,2026-06-10 16:51:11.919757,2026-06-10 16:51:13.673835,0 days 00:00:01.754078,81.89173109460081,1.014866430685245,6,COMPLETE,0.0773285194364387
15,-0.08053109617315934,2026-06-10 16:51:13.673890,2026-06-10 16:51:15.191260,0 days 00:00:01.517370,230.63280772185894,2.3976227274240736,6,COMPLETE,0.08053109617315934
16,-0.07508530442114969,2026-06-10 16:51:15.191364,2026-06-10 16:51:17.718424,0 days 00:00:02.527060,429.64956279178364,0.7463804704505792,2,COMPLETE,0.07508530442114969
17,-0.08051818997711468,2026-06-10 16:51:17.718534,2026-06-10 16:51:19.421113,0 days 00:00:01.702579,196.47190369766355,2.029827325944452,8,COMPLETE,0.08051818997711468
18,-0.07617108278340079,2026-06-10 16:51:19.421212,2026-06-10 16:51:21.032823,0 days 00:00:01.611611,84.4446223097679,0.6694653933471387,2,COMPLETE,0.07617108278340079
19,-0.07786371082733157,2026-06-10 16:51:21.032874,2026-06-10 16:51:22.818641,0 days 00:00:01.785767,769.593951628065,3.3067730281989145,5,COMPLETE,0.07786371082733157
20,-0.07845641173766638,2026-06-10 16:51:22.818696,2026-06-10 16:51:24.716033,0 days 00:00:01.897337,513.5721384294843,1.4588953606224142,1,COMPLETE,0.07845641173766638
21,-0.08060335224982296,2026-06-10 16:51:24.716167,2026-06-10 16:51:26.342753,0 days 00:00:01.626586,166.32769670102653,2.3793537960598523,0,COMPLETE,0.08060335224982296
22,-0.07803504787956961,2026-06-10 16:51:26.342806,2026-06-10 16:51:27.367800,0 days 00:00:01.024994,125.61466615062936,3.535276032425541,0,COMPLETE,0.07803504787956961
23,-0.07999321397166992,2026-06-10 16:51:27.367852,2026-06-10 16:51:29.166868,0 days 00:00:01.799016,345.7111652635186,1.7614474678518972,2,COMPLETE,0.07999321397166992
24,-0.0723852519145638,2026-06-10 16:51:29.166921,2026-06-10 16:51:30.336015,0 days 00:00:01.169094,95.99261234066412,6.3175188421753505,4,COMPLETE,0.0723852519145638
25,-0.07812839499609969,2026-06-10 16:51:30.336134,2026-06-10 16:51:32.396148,0 days 00:00:02.060014,192.43792041482163,0.700506919352256,2,COMPLETE,0.07812839499609969
26,-0.0774906915534791,2026-06-10 16:51:32.396208,2026-06-10 16:51:33.862537,0 days 00:00:01.466329,274.48363395208196,4.5668350553671715,9,COMPLETE,0.0774906915534791
27,-0.07142242046376168,2026-06-10 16:51:33.862642,2026-06-10 16:51:35.002139,0 days 00:00:01.139497,180.467200492173,9.630626156028722,4,COMPLETE,0.07142242046376168
28,-0.07994243663625888,2026-06-10 16:51:35.002246,2026-06-10 16:51:36.387105,0 days 00:00:01.384859,356.5992720683831,2.6443355738330614,1,COMPLETE,0.07994243663625888
29,-0.07971047777983864,2026-06-10 16:51:36.387158,2026-06-10 16:51:38.018854,0 days 00:00:01.631696,111.92384336736973,1.1396257307602349,18,COMPLETE,0.07971047777983864
30,-0.07908002439503703,2026-06-10 16:51:38.018907,2026-06-10 16:51:38.869105,0 days 00:00:00.850198,96.9376262884569,1.8239168515879205,1,COMPLETE,0.07908002439503703
31,-0.0801164884310267,2026-06-10 16:51:38.869156,2026-06-10 16:51:39.766420,0 days 00:00:00.897264,162.3295824809831,2.7315553749755717,0,COMPLETE,0.0801164884310267
32,-0.08073803692325954,2026-06-10 16:51:39.766519,2026-06-10 16:51:41.500689,0 days 00:00:01.734170,223.6162066696513,1.520478436111866,3,COMPLETE,0.08073803692325954
33,-0.08071601119779825,2026-06-10 16:51:41.500743,2026-06-10 16:51:43.218430,0 days 00:00:01.717687,225.11926102720062,1.5015823631809573,3,COMPLETE,0.08071601119779825
34,-0.07737916278960344,2026-06-10 16:51:43.218530,2026-06-10 16:51:45.443664,0 days 00:00:02.225134,260.8039815085621,0.8222790095515363,5,COMPLETE,0.07737916278960344
35,-0.07286681381780391,2026-06-10 16:51:45.443715,2026-06-10 16:51:47.833786,0 days 00:00:02.390071,300.7150477061273,0.5116604833312063,3,COMPLETE,0.07286681381780391
36,-0.0757467291676609,2026-06-10 16:51:47.833889,2026-06-10 16:51:48.580772,0 days 00:00:00.746883,197.11598642424448,6.099255634831917,1,COMPLETE,0.0757467291676609
37,-0.08062058593065602,2026-06-10 16:51:48.580825,2026-06-10 16:51:50.105755,0 days 00:00:01.524930,123.72959467434848,1.8017357977029416,14,COMPLETE,0.08062058593065602
38,-0.05656248699298927,2026-06-10 16:51:50.105807,2026-06-10 16:51:52.830710,0 days 00:00:02.724903,74.74785118106908,0.1407049149101859,3,COMPLETE,0.05656248699298927
39,-0.07425350406655229,2026-06-10 16:51:52.830821,2026-06-10 16:51:54.370394,0 days 00:00:01.539573,61.3856960699324,1.2819016570440307,5,COMPLETE,0.07425350406655229
