number,value,datetime_start,datetime_complete,duration,params_half_life_days,params_l2_lambda,params_threshold,state,r2
0,-0.07536190024963729,2026-06-09 15:52:00.042514,2026-06-09 15:52:01.050215,0 days 00:00:01.007701,111.5579284069578,7.969454818643932,15,COMPLETE,0.07536190024963729
1,-0.05437501787188115,2026-06-09 15:52:01.050323,2026-06-09 15:52:03.119537,0 days 00:00:02.069214,244.79668704186594,0.20513382630874502,3,COMPLETE,0.05437501787188115
2,-0.07216019738637647,2026-06-09 15:52:03.119645,2026-06-09 15:52:03.891657,0 days 00:00:00.772012,36.77693677430325,5.3994844097874335,12,COMPLETE,0.07216019738637647
3,-0.025194334503084947,2026-06-09 15:52:03.891710,2026-06-09 15:52:06.447646,0 days 00:00:02.555936,359.27742843713463,0.10994335574766201,20,COMPLETE,0.025194334503084947
4,-0.05316764320823908,2026-06-09 15:52:06.447745,2026-06-09 15:52:08.641525,0 days 00:00:02.193780,555.6872843629607,0.26587543983272705,3,COMPLETE,0.05316764320823908
5,-0.06760173028799676,2026-06-09 15:52:08.641575,2026-06-09 15:52:09.867904,0 days 00:00:01.226329,57.07213043685121,0.4059611610484306,11,COMPLETE,0.06760173028799676
6,-0.06717172363878388,2026-06-09 15:52:09.867954,2026-06-09 15:52:11.249287,0 days 00:00:01.381333,136.43353841454115,0.38234752246751863,12,COMPLETE,0.06717172363878388
7,-0.0661878163358196,2026-06-09 15:52:11.249340,2026-06-09 15:52:12.390996,0 days 00:00:01.141656,48.927552340819936,0.3839629299804172,7,COMPLETE,0.0661878163358196
8,-0.07965045995775466,2026-06-09 15:52:12.391049,2026-06-09 15:52:13.235686,0 days 00:00:00.844637,148.47746361371384,3.7183641805732086,4,COMPLETE,0.07965045995775466
9,-0.07907565952109052,2026-06-09 15:52:13.235772,2026-06-09 15:52:13.946903,0 days 00:00:00.711131,182.06981506056835,1.530485212183147,0,COMPLETE,0.07907565952109052
10,-0.07011834537975947,2026-06-09 15:52:13.946956,2026-06-09 15:52:15.438408,0 days 00:00:01.491452,846.8209840008549,2.126848942597982,20,COMPLETE,0.07011834537975947
11,-0.07913801998702574,2026-06-09 15:52:15.438510,2026-06-09 15:52:16.163175,0 days 00:00:00.724665,155.5393744851735,1.4495140946235858,0,COMPLETE,0.07913801998702574
12,-0.07889217648288349,2026-06-09 15:52:16.163226,2026-06-09 15:52:16.682928,0 days 00:00:00.519702,90.57720160468044,1.770789973812919,0,COMPLETE,0.07889217648288349
13,-0.07961196498910428,2026-06-09 15:52:16.683033,2026-06-09 15:52:17.658499,0 days 00:00:00.975466,286.69340281834997,3.6088349056795757,5,COMPLETE,0.07961196498910428
