tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
30.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
30.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
30.0,0.2,110.0,2023-01-01,3,2023,1.1063894018194043,1.092687291607887,-0.025236902391066574
30.0,0.2,110.0,2023-01-01,4,2024,1.1266586258638558,1.1606641160121933,0.05773821744213836
30.0,0.2,110.0,2023-01-01,5,2025,1.0869476882650213,1.1455956444273754,0.09976772553076085
30.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
30.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
30.0,0.4,110.0,2023-01-01,3,2023,1.1032880304831099,1.092687291607887,-0.019497180303586603
30.0,0.4,110.0,2023-01-01,4,2024,1.1265901125059823,1.1606641160121933,0.05785281392119579
30.0,0.4,110.0,2023-01-01,5,2025,1.0868667578365279,1.1455956444273754,0.09990177700755432
30.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
30.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
30.0,0.6,110.0,2023-01-01,3,2023,1.1015971379162983,1.092687291607887,-0.016374624511076297
30.0,0.6,110.0,2023-01-01,4,2024,1.1265382674667166,1.1606641160121933,0.05793952608632014
30.0,0.6,110.0,2023-01-01,5,2025,1.086788562420025,1.1455956444273754,0.1000312887863164
30.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
30.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
30.0,0.8,110.0,2023-01-01,3,2023,1.1005928135430156,1.092687291607887,-0.014522215031145258
30.0,0.8,110.0,2023-01-01,4,2024,1.1264928270488936,1.1606641160121933,0.05801552307538693
30.0,0.8,110.0,2023-01-01,5,2025,1.0867129973842737,1.1455956444273754,0.10015643512284478
30.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
30.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
30.0,1.0,110.0,2023-01-01,3,2023,1.1000139687891919,1.092687291607887,-0.013455341932393727
30.0,1.0,110.0,2023-01-01,4,2024,1.1264498958705274,1.1606641160121933,0.05808732066170552
30.0,1.0,110.0,2023-01-01,5,2025,1.086639962246379,1.1455956444273754,0.10027738332271241
57.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
57.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
57.0,0.2,110.0,2023-01-01,3,2023,1.105981409373711,1.092687291607887,-0.02448090854953211
57.0,0.2,110.0,2023-01-01,4,2024,1.1233844965859188,1.1606641160121933,0.06320678459562945
57.0,0.2,110.0,2023-01-01,5,2025,1.0692682759685304,1.1455956444273754,0.12881446394351592
57.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
57.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
57.0,0.4,110.0,2023-01-01,3,2023,1.1029692486766238,1.092687291607887,-0.018908122520202353
57.0,0.4,110.0,2023-01-01,4,2024,1.1235634451982381,1.1606641160121933,0.06290830941050285
57.0,0.4,110.0,2023-01-01,5,2025,1.0692142957838766,1.1455956444273754,0.1289024223541938
57.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
57.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
57.0,0.6,110.0,2023-01-01,3,2023,1.101410204941875,1.092687291607887,-0.01602971110333562
57.0,0.6,110.0,2023-01-01,4,2024,1.123714323885,1.1606641160121933,0.06265661617964069
57.0,0.6,110.0,2023-01-01,5,2025,1.0691622068967905,1.1455956444273754,0.12898729476618376
57.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
57.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
57.0,0.8,110.0,2023-01-01,3,2023,1.1005118211320057,1.092687291607887,-0.014372903540425419
57.0,0.8,110.0,2023-01-01,4,2024,1.1238399034401678,1.1606641160121933,0.062447100753836304
57.0,0.8,110.0,2023-01-01,5,2025,1.0691119332527685,1.1455956444273754,0.12906920554246548
57.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
57.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
57.0,1.0,110.0,2023-01-01,3,2023,1.1000106411472192,1.092687291607887,-0.01344921035310831
57.0,1.0,110.0,2023-01-01,4,2024,1.1239437013651288,1.1606641160121933,0.06227390786534215
57.0,1.0,110.0,2023-01-01,5,2025,1.0690634020344625,1.1455956444273754,0.1291482737332882
