tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
10.0,0.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1537480507648972,1.1537480507648972,0.0
10.0,0.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.09055673129318,1.09055673129318,0.0
10.0,0.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1488915388697298,1.154605324976626,0.00987289439927419
10.0,0.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1320203508980806,1.1625760678151191,0.0518747518454471
10.0,0.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0541597566650778,1.1384964393796808,0.1426670567229421
10.0,0.05,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1299833528993923,1.1537480507648972,0.04077137522799579
10.0,0.05,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.073792795759159,1.09055673129318,0.03050751645701877
10.0,0.05,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1431700869726649,1.154605324976626,0.019709956859168543
10.0,0.05,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1319682592013425,1.1625760678151191,0.051962008786527236
10.0,0.05,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0541508666826571,1.1384964393796808,0.14268151685122632
10.0,0.1,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.126569523972187,1.1537480507648972,0.04655853280878797
10.0,0.1,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0704953002392303,1.09055673129318,0.03645277606391095
10.0,0.1,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1406397649918447,1.154605324976626,0.024044752401451652
10.0,0.1,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.131917270617682,1.1625760678151191,0.05204741405356961
10.0,0.1,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.05414203009223,1.1384964393796808,0.14269589001314842
10.0,0.15,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.125714656972186,1.1537480507648972,0.04800497066116871
10.0,0.15,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0690134028223885,1.09055673129318,0.039118625841666144
10.0,0.15,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1393067946085453,1.154605324976626,0.026324454271323128
10.0,0.15,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1318674502510038,1.1625760678151191,0.05213085885526314
10.0,0.15,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0541332460723654,1.1384964393796808,0.14271017754697513
10.0,0.2,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1256946167515798,1.1537480507648972,0.04803886561042392
10.0,0.2,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0682415453019378,1.09055673129318,0.040505691264917765
