role,half_life_days,fold,train_size,test_size,rmse
hunter,29.999999999999996,1,1520,1516,1.1583123229899455
hunter,29.999999999999996,2,3036,1516,1.084982732727943
hunter,29.999999999999996,3,4552,1516,1.1453607130937242
hunter,29.999999999999996,4,6068,1516,1.114543140641627
hunter,29.999999999999996,5,7584,1516,1.0396440227176111
hunter,37.24118099745335,1,1520,1516,1.1561610488004797
hunter,37.24118099745335,2,3036,1516,1.0835824486444638
hunter,37.24118099745335,3,4552,1516,1.1456270529660668
hunter,37.24118099745335,4,6068,1516,1.1135483755880817
hunter,37.24118099745335,5,7584,1516,1.0387042517661607
hunter,46.23018540283602,1,1520,1516,1.1530526736438875
hunter,46.23018540283602,2,3036,1516,1.0825715646012266
hunter,46.23018540283602,3,4552,1516,1.146345938897553
hunter,46.23018540283602,4,6068,1516,1.113928239511018
hunter,46.23018540283602,5,7584,1516,1.038016763051172
hunter,57.38889007109474,1,1520,1516,1.1495113011373357
hunter,57.38889007109474,2,3036,1516,1.0819710901017774
hunter,57.38889007109474,3,4552,1516,1.1471488194461983
hunter,57.38889007109474,4,6068,1516,1.1145804680169116
hunter,57.38889007109474,5,7584,1516,1.0374624078359864
hunter,71.24100141268643,1,1520,1516,1.1461861520010392
hunter,71.24100141268643,2,3036,1516,1.0816662342509882
hunter,71.24100141268643,3,4552,1516,1.14752011800065
hunter,71.24100141268643,4,6068,1516,1.1149591493018816
hunter,71.24100141268643,5,7584,1516,1.0369739607410846
hunter,88.43663426832285,1,1520,1516,1.1435248674027636
hunter,88.43663426832285,2,3036,1516,1.081494512570642
hunter,88.43663426832285,3,4552,1516,1.147511586977224
hunter,88.43663426832285,4,6068,1516,1.1149742362626558
hunter,88.43663426832285,5,7584,1516,1.036548170016452
hunter,109.78282345307318,1,1520,1516,1.1416785542507806
hunter,109.78282345307318,2,3036,1516,1.081397863744414
hunter,109.78282345307318,3,4552,1516,1.1474272574499542
hunter,109.78282345307318,4,6068,1516,1.11478245364195
hunter,109.78282345307318,5,7584,1516,1.0361958688035884
hunter,136.2813999542456,1,1520,1516,1.1405539822325241
hunter,136.2813999542456,2,3036,1516,1.08139794677722
hunter,136.2813999542456,3,4552,1516,1.1474135316293321
hunter,136.2813999542456,4,6068,1516,1.1145860445929248
hunter,136.2813999542456,5,7584,1516,1.035892557689581
hunter,169.17600940941313,1,1520,1516,1.1399538714118813
hunter,169.17600940941313,2,3036,1516,1.081507679988752
hunter,169.17600940941313,3,4552,1516,1.1474705221745949
hunter,169.17600940941313,4,6068,1516,1.1145347886438324
hunter,169.17600940941313,5,7584,1516,1.0356006598507002
hunter,210.01047956142742,1,1520,1516,1.1396873671963903
hunter,210.01047956142742,2,3036,1516,1.0817035660292706
hunter,210.01047956142742,3,4552,1516,1.1475595458948091
hunter,210.01047956142742,4,6068,1516,1.1147075054713778
hunter,210.01047956142742,5,7584,1516,1.0353172534996784
hunter,260.7012760236364,1,1520,1516,1.139612980085457
hunter,260.7012760236364,2,3036,1516,1.0819455673894744
hunter,260.7012760236364,3,4552,1516,1.1476554248955397
hunter,260.7012760236364,4,6068,1516,1.1151146356328416
hunter,260.7012760236364,5,7584,1516,1.0350774567801495
hunter,323.62744688877655,1,1520,1516,1.1396394507827063
hunter,323.62744688877655,2,3036,1516,1.0821985531897174
hunter,323.62744688877655,3,4552,1516,1.1477512804953192
hunter,323.62744688877655,4,6068,1516,1.115709118161331
hunter,323.62744688877655,5,7584,1516,1.0349219330788375
hunter,401.7422775109552,1,1520,1516,1.1397127267526126
hunter,401.7422775109552,2,3036,1516,1.082439803246754
hunter,401.7422775109552,3,4552,1516,1.1478478781689492
hunter,401.7422775109552,4,6068,1516,1.116412698952702
hunter,401.7422775109552,5,7584,1516,1.0348693056328104
hunter,498.7118957038203,1,1520,1516,1.1398027264636328
hunter,498.7118957038203,2,3036,1516,1.0826576429896941
hunter,498.7118957038203,3,4552,1516,1.1479457690081774
hunter,498.7118957038203,4,6068,1516,1.1171471179972357
hunter,498.7118957038203,5,7584,1516,1.0349112333175117
hunter,619.0873324496347,1,1520,1516,1.1398936932640429
hunter,619.0873324496347,2,3036,1516,1.0828477592486299
hunter,619.0873324496347,3,4552,1516,1.1480433097194425
hunter,619.0873324496347,4,6068,1516,1.1178535550055895
hunter,619.0873324496347,5,7584,1516,1.0350228469614822
hunter,768.5181133662479,1,1520,1516,1.1399780390651686
hunter,768.5181133662479,2,3036,1516,1.083010046341421
hunter,768.5181133662479,3,4552,1516,1.1481376216083516
hunter,768.5181133662479,4,6068,1516,1.1184970162689045
hunter,768.5181133662479,5,7584,1516,1.0351755414240518
hunter,954.0174053231276,1,1520,1516,1.140052666787166
hunter,954.0174053231276,2,3036,1516,1.0831465208269617
hunter,954.0174053231276,3,4552,1516,1.1482258973269683
hunter,954.0174053231276,4,6068,1516,1.1190619867162999
hunter,954.0174053231276,5,7584,1516,1.0353450521501177
hunter,1184.2911622119798,1,1520,1516,1.140116853080868
hunter,1184.2911622119798,2,3036,1516,1.083260093969596
hunter,1184.2911622119798,3,4552,1516,1.148306129508973
hunter,1184.2911622119798,4,6068,1516,1.119545830244217
hunter,1184.2911622119798,5,7584,1516,1.0355142338102143
hunter,1470.1467175206903,1,1520,1516,1.1401710582815163
hunter,1470.1467175206903,2,3036,1516,1.083353898967138
hunter,1470.1467175206903,3,4552,1516,1.148377277398577
hunter,1470.1467175206903,4,6068,1516,1.1199531741659676
hunter,1470.1467175206903,5,7584,1516,1.0356726456224556
hunter,1824.9999999999995,1,1520,1516,1.1402162713473596
hunter,1824.9999999999995,2,3036,1516,1.0834309462894174
hunter,1824.9999999999995,3,4552,1516,1.1484391267668024
hunter,1824.9999999999995,4,6068,1516,1.1202920676462094
hunter,1824.9999999999995,5,7584,1516,1.035814945279527
survivor,29.999999999999996,1,1520,1516,1.151162461659583
survivor,29.999999999999996,2,3036,1516,1.0899547087658763
survivor,29.999999999999996,3,4552,1516,1.1601858932744458
survivor,29.999999999999996,4,6068,1516,1.1228114234886732
survivor,29.999999999999996,5,7584,1516,1.079262387100203
survivor,37.24118099745335,1,1520,1516,1.150820346021942
survivor,37.24118099745335,2,3036,1516,1.0889274752022677
survivor,37.24118099745335,3,4552,1516,1.1626973911517091
survivor,37.24118099745335,4,6068,1516,1.1192990996858145
survivor,37.24118099745335,5,7584,1516,1.077858961327018
survivor,46.23018540283602,1,1520,1516,1.1504511146780056
survivor,46.23018540283602,2,3036,1516,1.0878774793305774
survivor,46.23018540283602,3,4552,1516,1.1653492914161372
survivor,46.23018540283602,4,6068,1516,1.1170423521770863
survivor,46.23018540283602,5,7584,1516,1.0767049467641776
survivor,57.38889007109474,1,1520,1516,1.1502466797829325
survivor,57.38889007109474,2,3036,1516,1.0868679794031304
survivor,57.38889007109474,3,4552,1516,1.1679444403494856
survivor,57.38889007109474,4,6068,1516,1.1158296376901082
survivor,57.38889007109474,5,7584,1516,1.0758100971766358
survivor,71.24100141268643,1,1520,1516,1.1504121784749355
survivor,71.24100141268643,2,3036,1516,1.0859708360798934
survivor,71.24100141268643,3,4552,1516,1.1702689727109772
survivor,71.24100141268643,4,6068,1516,1.1154604696184218
survivor,71.24100141268643,5,7584,1516,1.0751850389574278
survivor,88.43663426832285,1,1520,1516,1.1510159157433195
survivor,88.43663426832285,2,3036,1516,1.085240026234799
survivor,88.43663426832285,3,4552,1516,1.1722094765902125
survivor,88.43663426832285,4,6068,1516,1.1159014568923842
survivor,88.43663426832285,5,7584,1516,1.074807491024038
survivor,109.78282345307318,1,1520,1516,1.1519663607352402
survivor,109.78282345307318,2,3036,1516,1.0846742946857812
survivor,109.78282345307318,3,4552,1516,1.1738030273218798
survivor,109.78282345307318,4,6068,1516,1.1171730502169521
survivor,109.78282345307318,5,7584,1516,1.0746020535410945
survivor,136.2813999542456,1,1520,1516,1.1531110141509968
survivor,136.2813999542456,2,3036,1516,1.0842717136207716
survivor,136.2813999542456,3,4552,1516,1.1751368288632635
